# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,336,6,120,61,0,59,35,0,38,27,0,23,16,2,6,6,0,1,1,0,1,2,0,4,5,0.302919864655
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,6,6,0,1,1,0,3,5,0,2,5,0.294194936752
apache1,156,9,110,57,0,59,35,0,20,15,0,31,20,4,6,6,0,1,1,0,3,5,0,2,6,0.286514043808
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,2,8,8,0,1,1,0,5,8,0,2,4,0.334004878998
apache1,81,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.273854970932
apache1,243,8,120,61,0,59,35,0,26,19,0,35,23,2,8,8,0,1,1,0,5,8,0,2,4,0.311888933182
apache1,266,12,120,61,0,59,35,0,29,22,0,32,21,3,6,6,0,1,1,0,2,5,0,3,6,0.308089971542
apache1,211,8,120,61,0,59,35,0,33,23,0,28,19,2,8,8,0,1,1,0,2,4,0,5,8,0.314427137375
apache1,176,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.254216909409
apache1,292,10,110,57,0,59,35,0,22,16,0,29,19,4,6,6,0,1,1,0,2,5,0,3,6,0.304914951324
apache1,264,11,120,61,0,59,35,0,32,23,0,29,20,3,8,8,0,1,1,0,1,5,0,6,8,0.295829057693
apache1,381,9,110,57,0,59,35,0,31,23,0,20,15,3,7,7,0,2,2,0,3,7,0,2,6,0.282245874405
apache1,245,8,120,61,0,59,35,0,28,19,0,33,22,4,8,8,0,1,1,0,5,8,0,2,5,0.318958044052
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,3,6,6,0,1,1,0,4,6,0,1,5,0.283175945282
apache1,175,8,107,57,0,59,35,0,19,17,0,29,23,2,6,6,0,2,2,0,2,5,0,2,5,0.26393198967
apache1,417,6,110,57,0,59,35,0,29,21,0,22,15,4,9,9,0,2,2,0,4,8,0,3,6,0.326261043549
apache1,241,10,144,69,0,59,35,0,40,30,0,45,32,2,6,6,0,1,1,0,3,6,0,2,4,0.281108140945
apache1,77,9,100,53,0,59,35,0,22,14,0,19,12,5,7,7,0,2,2,0,3,7,0,2,6,0.28130197525
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,4,6,6,0,1,1,0,2,5,0,3,6,0.306784152985
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,6,6,0,1,1,0,2,5,0,3,6,0.303979873657
apache1,294,10,110,57,0,59,35,0,22,16,0,29,20,4,6,6,0,1,1,0,3,5,0,2,6,0.265918970108
apache1,296,6,97,53,0,59,35,0,22,15,0,16,15,5,6,8,0,1,1,0,3,5,0,2,7,0.265934944153
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,8,8,0,1,1,0,5,8,0,2,6,0.322402954102
apache1,339,10,120,61,0,59,35,0,28,20,0,33,21,4,6,6,0,1,1,0,2,5,0,3,5,0.281553983688
apache1,348,10,140,69,0,59,35,0,37,30,0,44,28,4,7,7,0,2,2,0,2,7,0,3,6,0.332253932953
apache1,247,8,109,57,0,59,35,0,16,15,0,34,22,3,6,6,0,1,1,0,2,5,0,3,5,0.274607896805
apache1,148,5,120,61,0,59,35,0,20,19,0,41,28,2,6,6,0,1,1,0,3,6,0,2,4,0.275856018066
