# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveall --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,4,17,12,0,6,6,0,7,10,0,4,7,0.855155944824
apache1,185,8,120,61,0,59,35,0,19,15,0,42,26,4,10,7,0,4,4,0,2,7,0,4,6,0.554145097733
apache1,117,5,110,57,0,59,35,0,17,13,0,34,20,5,10,8,0,3,3,0,2,6,0,5,8,0.627039909363
apache1,425,3,120,61,0,59,35,0,40,26,0,21,13,3,11,7,0,4,4,0,3,6,0,4,6,0.727683067322
apache1,187,6,100,53,0,59,35,0,17,12,0,24,14,4,10,7,0,4,4,0,2,6,0,4,6,0.554030895233
apache1,179,9,124,61,0,59,35,0,21,21,0,44,30,5,10,8,0,3,3,0,2,7,0,5,7,0.550786972046
apache1,330,12,140,69,0,59,35,0,37,28,0,44,32,4,8,7,0,3,3,0,2,7,0,3,6,0.544939041138
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,3,13,8,0,4,4,0,6,7,0,3,6,0.751612901688
apache1,116,7,124,61,0,59,35,0,19,20,0,46,33,5,9,7,0,3,3,0,2,6,0,4,7,0.581491947174
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,4,10,8,0,3,3,0,4,8,0,3,6,0.592648029327
apache1,279,6,120,61,0,59,35,0,20,16,0,41,26,4,9,7,0,3,3,0,2,7,0,4,6,0.511312007904
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,9,7,0,3,3,0,4,6,0,2,6,0.567633152008
apache1,422,3,120,61,0,59,35,0,40,26,0,21,13,3,11,7,0,4,4,0,3,6,0,4,6,0.664422988892
apache1,147,8,120,61,0,59,35,0,20,16,0,41,27,4,8,7,0,3,3,0,2,7,0,3,6,0.504799842834
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,5,13,9,0,4,4,0,5,7,0,4,8,0.774574041367
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.561861991882
apache1,188,7,100,53,0,59,35,0,22,14,0,19,12,5,10,7,0,4,4,0,4,7,0,2,6,0.550050020218
apache1,108,8,110,57,0,59,35,0,17,14,0,34,21,4,16,12,0,6,6,0,2,8,0,8,9,0.775851964951
apache1,307,9,110,57,0,59,35,0,22,17,0,29,20,7,18,13,0,6,6,0,5,10,0,7,9,1.01586413383
apache1,420,3,110,57,0,59,35,0,29,19,0,22,13,3,11,7,0,4,4,0,3,6,0,4,6,0.559896945953
apache1,244,8,120,61,0,59,35,0,26,18,0,35,21,4,9,7,0,3,3,0,2,6,0,4,6,0.506847143173
apache1,306,7,110,57,0,59,35,0,22,16,0,29,19,3,8,7,0,3,3,0,3,7,0,2,6,0.484699964523
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,6,12,8,0,4,4,0,3,8,0,5,6,0.709279060364
apache1,354,7,141,69,0,59,35,0,38,28,0,44,31,3,9,7,0,3,3,0,3,6,0,3,6,0.511586904526
apache1,233,10,120,61,0,59,35,0,32,23,0,29,19,4,17,11,0,6,6,0,4,9,0,7,8,1.15499520302
apache1,247,8,109,57,0,59,35,0,16,15,0,34,22,6,11,8,0,4,4,0,3,7,0,4,7,0.649253845215
apache1,340,10,120,61,0,59,35,0,28,20,0,33,21,6,13,9,0,4,4,0,4,7,0,5,8,0.687728881836
apache1,141,7,110,57,0,59,35,0,19,15,0,32,20,7,17,12,0,6,6,0,3,8,0,8,10,0.8701171875
apache1,351,6,110,57,0,59,35,0,27,21,0,24,15,6,17,12,0,6,6,0,6,10,0,5,7,0.928507089615
apache1,157,8,120,61,0,59,35,0,28,19,0,33,21,4,11,7,0,4,4,0,3,7,0,4,6,0.611301898956
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,15,12,0,6,6,0,5,10,0,4,7,0.719746828079
apache1,362,3,120,61,0,59,35,0,42,28,0,19,14,3,12,7,0,4,4,0,5,7,0,3,6,0.783284902573
apache1,358,11,137,69,0,59,35,0,39,29,0,39,29,5,13,8,0,4,4,0,5,7,0,4,7,0.690810203552
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,17,12,0,6,6,0,6,11,0,5,8,0.878680944443
apache1,144,8,110,57,0,59,35,0,20,15,0,31,19,4,10,7,0,4,4,0,3,7,0,3,6,0.57964682579
apache1,339,10,120,61,0,59,35,0,28,20,0,33,21,6,13,9,0,4,4,0,4,7,0,5,8,0.614572048187
apache1,203,5,110,57,0,59,35,0,22,16,0,29,19,5,17,12,0,6,6,0,4,9,0,7,9,0.777858018875
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,4,12,8,0,4,4,0,4,8,0,4,6,0.597211122513
apache1,17,6,120,61,0,59,35,0,27,19,0,34,22,4,12,7,0,4,4,0,4,7,0,4,6,0.624565124512
apache1,47,8,124,65,0,59,35,0,41,30,0,24,22,6,11,9,0,4,4,0,3,7,0,4,8,0.630270004272
apache1,246,10,120,61,0,59,35,0,27,19,0,34,23,6,12,9,0,4,4,0,4,7,0,4,8,0.575282812119
apache1,378,5,110,57,0,59,35,0,30,20,0,21,14,3,11,7,0,4,4,0,4,6,0,3,6,0.551894903183
apache1,408,3,99,53,0,59,35,0,18,15,0,22,13,3,10,7,0,4,4,0,2,6,0,4,6,0.532784938812
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,5,10,8,0,3,3,0,5,8,0,2,6,0.56258893013
apache1,412,6,120,61,0,59,35,0,38,27,0,23,16,2,9,7,0,3,3,0,2,5,0,4,6,0.447275161743
apache1,110,8,110,57,0,59,35,0,17,13,0,34,21,4,8,7,0,3,3,0,2,7,0,3,6,0.457464933395
apache1,341,10,120,61,0,59,35,0,27,19,0,34,22,8,17,11,0,6,6,0,5,9,0,6,9,0.852358102798
apache1,281,4,124,61,0,59,35,0,20,15,0,45,29,4,11,7,0,4,4,0,3,7,0,4,6,0.60093998909
apache1,404,3,94,51,0,59,35,0,13,13,0,22,13,3,14,11,0,6,6,0,4,9,0,4,7,0.750908851624
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,12,7,0,4,4,0,5,7,0,3,6,0.569547176361
apache1,109,4,110,57,0,59,35,0,17,13,0,34,21,4,10,8,0,3,3,0,3,7,0,4,7,0.541275978088
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,9,7,0,3,3,0,2,6,0,4,7,0.49357509613
apache1,295,7,110,57,0,59,35,0,22,16,0,29,20,5,17,12,0,6,6,0,5,9,0,6,9,0.818940162659
apache1,415,3,124,61,0,59,35,0,44,29,0,21,13,3,11,7,0,4,4,0,3,6,0,4,6,0.592406988144
apache1,250,10,140,69,0,59,35,0,36,27,0,45,32,4,11,7,0,4,4,0,3,7,0,4,6,0.553452014923
apache1,207,9,140,69,0,59,35,0,39,30,0,42,29,5,11,7,0,4,4,0,4,7,0,3,6,0.530018806458
apache1,83,5,97,53,0,59,35,0,20,14,0,18,15,3,10,7,0,4,4,0,3,6,0,3,6,0.468574047089
apache1,342,8,120,61,0,59,35,0,28,19,0,33,21,8,17,11,0,6,6,0,5,9,0,6,9,0.891654014587
apache1,158,6,109,57,0,59,35,0,17,15,0,33,20,4,10,7,0,4,4,0,2,7,0,4,6,0.572407007217
apache1,270,11,120,61,0,59,35,0,31,23,0,30,21,3,8,7,0,3,3,0,3,7,0,2,6,0.453874826431
apache1,160,6,110,57,0,59,35,0,17,14,0,34,20,2,10,7,0,4,4,0,1,5,0,5,6,0.530348062515
apache1,241,10,144,69,0,59,35,0,40,30,0,45,32,4,11,7,0,4,4,0,3,7,0,4,6,0.565924882889
apache1,267,11,120,61,0,59,35,0,33,23,0,28,20,7,11,8,0,3,3,0,5,8,0,3,6,0.564934015274
apache1,417,6,110,57,0,59,35,0,29,21,0,22,15,4,16,12,0,6,6,0,6,10,0,4,7,0.823269128799
apache1,76,7,92,51,0,59,35,0,20,16,0,13,13,5,14,11,0,6,6,0,4,9,0,4,9,0.671930074692
