# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,8,36,16,0,59,35,0,28,20,0,33,21,0,11,6,0,8,10,0,17,13,8.41467809677
apache1,248,6,120,61,6,34,14,0,59,35,0,28,20,0,33,22,0,11,6,0,8,9,0,15,12,7.04814910889
apache1,392,7,110,57,7,31,14,0,59,35,0,22,16,0,29,19,0,11,6,0,9,10,0,11,11,7.19587683678
apache1,266,8,120,61,8,37,16,0,59,35,0,29,22,0,32,21,0,11,6,0,14,14,0,12,10,8.26101303101
apache1,369,8,124,61,4,19,8,0,59,35,0,45,31,0,20,15,0,8,4,0,6,8,0,5,6,4.46808695793
apache1,293,6,110,57,5,30,14,0,59,35,0,22,16,0,29,20,0,11,6,0,9,10,0,10,11,8.0647521019
apache1,186,4,100,53,4,19,8,0,59,35,0,17,12,0,24,14,0,8,4,0,5,8,0,6,6,3.81200194359
apache1,385,5,110,57,5,15,7,0,59,35,0,32,22,0,19,13,0,6,3,0,6,7,0,3,6,2.51920199394
apache1,367,3,124,61,3,20,9,0,59,35,0,46,31,0,19,14,0,8,4,0,7,8,0,5,7,3.54530906677
apache1,157,4,120,61,4,37,16,0,59,35,0,28,19,0,33,21,0,11,6,0,10,11,0,16,12,11.600730896
apache1,283,4,124,61,4,23,11,0,59,35,0,21,16,0,44,29,0,8,4,0,7,8,0,8,9,3.95637893677
apache1,270,9,120,61,5,17,8,0,59,35,0,31,23,0,30,21,0,6,3,0,6,8,0,5,7,3.29021382332
apache1,114,6,120,61,4,16,8,0,59,35,0,19,19,0,42,29,0,6,3,0,4,7,0,6,7,2.30175900459
apache1,380,4,110,57,3,27,12,0,59,35,0,32,22,0,19,14,0,11,6,0,12,10,0,4,6,5.77974581718
apache1,370,4,124,61,2,18,8,0,59,35,0,44,30,0,21,15,0,8,4,0,6,8,0,4,6,3.73777389526
