# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitiveraw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,8,17,11,0,59,35,0,28,20,0,33,21,0,6,6,0,4,9,0,7,9,2.12550997734
apache1,248,6,120,61,6,12,7,0,59,35,0,28,20,0,33,22,0,4,4,0,4,7,0,4,6,1.8383910656
apache1,392,7,110,57,5,16,11,0,59,35,0,22,16,0,29,19,0,6,6,0,3,8,0,7,9,2.13360190392
apache1,266,8,120,61,8,17,11,0,59,35,0,29,22,0,32,21,0,6,6,0,6,10,0,5,8,2.24998497963
apache1,369,8,124,61,4,11,7,0,59,35,0,45,31,0,20,15,0,4,4,0,3,7,0,4,6,1.35438489914
apache1,293,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,1.89608597755
apache1,186,4,100,53,4,10,7,0,59,35,0,17,12,0,24,14,0,4,4,0,2,7,0,4,6,1.24941205978
apache1,385,5,110,57,5,11,7,0,59,35,0,32,22,0,19,13,0,4,4,0,5,7,0,2,6,1.26721096039
apache1,367,3,124,61,3,9,7,0,59,35,0,46,31,0,19,14,0,3,3,0,3,6,0,3,6,1.13084506989
apache1,157,4,120,61,4,12,7,0,59,35,0,28,19,0,33,21,0,4,4,0,4,7,0,4,6,1.45836305618
apache1,283,4,124,61,4,11,7,0,59,35,0,21,16,0,44,29,0,4,4,0,3,7,0,4,6,1.40166902542
apache1,270,9,120,61,7,17,11,0,59,35,0,31,23,0,30,21,0,6,6,0,7,10,0,4,8,2.27124810219
apache1,114,6,120,61,4,11,7,0,59,35,0,19,19,0,42,29,0,4,4,0,3,7,0,4,6,1.30216288567
apache1,380,4,110,57,3,16,11,0,59,35,0,32,22,0,19,14,0,6,6,0,9,10,0,1,5,2.15983200073
apache1,370,4,124,61,2,11,7,0,59,35,0,44,30,0,21,15,0,4,4,0,3,6,0,4,6,1.3661429882
apache1,373,5,110,57,5,16,11,0,59,35,0,32,22,0,19,14,0,6,6,0,8,10,0,2,6,2.00064897537
apache1,416,4,110,57,4,11,7,0,59,35,0,29,20,0,22,15,0,4,4,0,4,7,0,3,6,1.42013382912
apache1,391,4,110,57,3,11,7,0,59,35,0,22,16,0,29,19,0,4,4,0,4,7,0,3,6,1.40780806541
apache1,389,6,124,61,4,11,7,0,59,35,0,22,16,0,43,29,0,4,4,0,4,7,0,3,6,1.44106316566
apache1,345,8,120,61,4,17,11,0,59,35,0,27,20,0,34,24,0,6,6,0,6,9,0,5,9,2.14878201485
apache1,160,3,110,57,2,11,7,0,59,35,0,17,14,0,34,20,0,4,4,0,1,5,0,6,6,1.37609505653
apache1,409,4,113,57,4,10,7,0,59,35,0,33,25,0,21,13,0,4,4,0,2,7,0,4,6,1.3812930584
apache1,115,8,120,61,4,11,7,0,59,35,0,19,20,0,42,30,0,4,4,0,2,7,0,5,6,1.40585112572
apache1,265,9,120,61,7,17,11,0,59,35,0,33,24,0,28,20,0,6,6,0,6,10,0,5,8,2.27610301971
apache1,426,4,109,57,4,10,7,0,59,35,0,29,22,0,21,13,0,4,4,0,2,7,0,4,6,1.36127710342
apache1,236,6,120,61,6,12,7,0,59,35,0,28,20,0,33,22,0,4,4,0,4,7,0,4,6,1.53488898277
apache1,273,7,120,61,7,17,11,0,59,35,0,33,22,0,28,18,0,6,6,0,6,10,0,5,8,2.54887890816
apache1,299,6,110,57,3,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.06109595299
apache1,205,3,124,61,3,9,7,0,59,35,0,21,15,0,44,29,0,3,3,0,5,7,0,1,4,1.22277593613
apache1,235,6,120,61,4,17,11,0,59,35,0,27,19,0,34,23,0,6,6,0,6,9,0,5,9,2.32702994347
apache1,390,7,110,57,5,11,7,0,59,35,0,21,16,0,30,19,0,4,4,0,3,7,0,4,6,1.44258093834
apache1,368,4,124,61,2,11,7,0,59,35,0,46,31,0,19,15,0,4,4,0,4,6,0,3,6,1.5666949749
apache1,128,5,140,69,3,11,7,0,59,35,0,42,33,0,39,28,0,4,4,0,4,6,0,3,7,1.64172792435
apache1,289,6,110,57,3,11,7,0,59,35,0,21,16,0,30,20,0,4,4,0,4,7,0,3,6,1.42076992989
apache1,328,9,140,69,5,11,7,0,59,35,0,40,30,0,41,27,0,4,4,0,5,7,0,2,6,1.56303405762
apache1,245,6,120,61,4,17,11,0,59,35,0,28,19,0,33,22,0,6,6,0,6,9,0,5,9,2.31812214851
apache1,267,9,120,61,9,17,11,0,59,35,0,33,23,0,28,20,0,6,6,0,6,10,0,5,8,2.4502530098
apache1,51,4,102,55,4,15,11,0,59,35,0,32,21,0,11,13,0,6,6,0,6,10,0,3,8,2.1535141468
apache1,343,7,120,61,6,17,11,0,59,35,0,26,20,0,35,23,0,6,6,0,4,9,0,7,9,2.30722403526
apache1,382,4,110,57,3,9,7,0,59,35,0,33,23,0,18,14,0,3,3,0,5,7,0,1,4,1.26378083229
apache1,291,7,110,57,5,16,11,0,59,35,0,22,16,0,29,19,0,6,6,0,3,8,0,7,9,2.1092839241
apache1,303,6,144,69,6,11,7,0,59,35,0,41,32,0,44,30,0,4,4,0,3,7,0,4,6,1.56380915642
apache1,297,7,110,57,5,16,11,0,59,35,0,21,16,0,30,20,0,6,6,0,3,8,0,7,9,2.2643558979
apache1,243,6,120,61,4,17,11,0,59,35,0,26,19,0,35,23,0,6,6,0,5,9,0,6,9,2.20096206665
apache1,301,8,110,57,3,16,11,0,59,35,0,22,17,0,29,20,0,6,6,0,3,8,0,7,9,2.25463294983
apache1,271,6,107,57,6,16,11,0,59,35,0,33,22,0,15,14,0,6,6,0,6,10,0,4,8,2.46843910217
apache1,375,5,110,57,5,9,7,0,59,35,0,33,23,0,18,14,0,3,3,0,4,7,0,2,6,1.23439002037
apache1,203,5,110,57,3,16,11,0,59,35,0,22,16,0,29,19,0,6,6,0,3,7,0,7,9,2.04781699181
apache1,304,6,110,57,5,16,11,0,59,35,0,22,16,0,29,20,0,6,6,0,4,8,0,6,9,2.49266600609
apache1,141,6,110,57,4,16,11,0,59,35,0,19,15,0,32,20,0,6,6,0,2,8,0,8,9,2.18425607681
apache1,346,6,120,61,6,17,11,0,59,35,0,27,19,0,34,22,0,6,6,0,5,9,0,6,9,2.48650789261
apache1,415,4,124,61,4,11,7,0,59,35,0,44,29,0,21,13,0,4,4,0,3,7,0,4,6,1.65921902657
apache1,109,4,110,57,4,11,7,0,59,35,0,17,13,0,34,21,0,4,4,0,3,7,0,4,6,1.70510292053
apache1,142,5,110,57,2,16,11,0,59,35,0,19,15,0,32,20,0,6,6,0,1,6,0,9,9,2.33080220222
apache1,110,4,110,57,4,11,7,0,59,35,0,17,13,0,34,21,0,4,4,0,3,7,0,4,6,1.51798796654
apache1,244,6,120,61,4,9,7,0,59,35,0,26,18,0,35,21,0,3,3,0,2,6,0,4,6,1.23549103737
apache1,49,7,120,61,5,11,7,0,59,35,0,31,21,0,30,21,0,4,4,0,5,7,0,2,6,1.62116122246
apache1,204,5,110,57,5,11,7,0,59,35,0,22,15,0,29,19,0,4,4,0,4,7,0,3,6,1.59375596046
apache1,425,4,120,61,4,11,7,0,59,35,0,40,26,0,21,13,0,4,4,0,3,7,0,4,6,1.76204109192
