# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,2,8,8,0,1,1,0,5,8,0,2,4,4,16,11,0,6,6,0,7,10,0,3,6,4,11,9,0,3,3,0,5,9,0,3,6,0.793140888214
apache1,185,8,120,61,0,59,35,0,19,15,0,42,26,3,6,6,0,1,1,0,1,5,0,4,6,4,9,7,0,3,3,0,2,7,0,4,6,4,9,7,0,3,3,0,2,7,0,4,6,0.543612003326
apache1,117,5,110,57,0,59,35,0,17,13,0,34,20,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,5,9,7,0,3,3,0,2,6,0,4,7,0.522065162659
apache1,425,3,120,61,0,59,35,0,40,26,0,21,13,3,9,7,0,3,3,0,3,5,0,3,6,3,11,7,0,4,4,0,3,5,0,4,6,3,10,7,0,4,4,0,3,6,0,3,6,0.694399118423
apache1,187,6,100,53,0,59,35,0,17,12,0,24,14,2,6,6,0,1,1,0,2,4,0,3,4,2,7,6,0,2,2,0,2,4,0,3,4,4,9,7,0,3,3,0,2,6,0,4,6,0.499047040939
apache1,179,9,124,61,0,59,35,0,21,21,0,44,30,1,6,6,0,1,1,-1,0,0,0,5,6,1,6,6,0,1,1,-1,0,0,0,5,6,3,9,7,0,3,3,0,1,4,0,5,7,0.521249055862
apache1,330,12,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,0.537136077881
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,2,8,6,0,1,1,0,5,5,0,2,4,3,12,7,0,4,4,0,6,7,0,2,5,2,10,6,0,3,3,0,5,5,0,2,4,0.707803010941
apache1,116,7,124,61,0,59,35,0,19,20,0,46,33,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,5,9,7,0,3,3,0,2,6,0,4,7,0.563853025436
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,3,6,6,0,1,1,0,2,5,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,0.579394817352
apache1,279,6,120,61,0,59,35,0,20,16,0,41,26,3,6,6,0,1,1,0,1,5,0,4,6,4,9,7,0,3,3,0,2,7,0,4,6,4,9,7,0,3,3,0,2,7,0,4,6,0.58194899559
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,6,6,0,1,1,0,3,5,0,2,5,3,9,7,0,3,3,0,4,6,0,2,6,3,7,6,0,2,2,0,3,5,0,2,5,0.530853033066
apache1,422,3,120,61,0,59,35,0,40,26,0,21,13,3,9,7,0,3,3,0,3,5,0,3,6,3,11,7,0,4,4,0,3,5,0,4,6,3,10,7,0,4,4,0,3,6,0,3,6,0.691518068314
apache1,147,8,120,61,0,59,35,0,20,16,0,41,27,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,0.555456876755
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,3,6,6,0,1,1,0,4,6,0,1,5,5,9,7,0,3,3,0,4,7,0,2,6,5,9,7,0,3,3,0,4,7,0,2,6,0.600625991821
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,3,8,6,0,3,3,0,3,5,0,2,5,3,10,7,0,4,4,0,3,6,0,3,6,0.545807123184
apache1,188,7,100,53,0,59,35,0,22,14,0,19,12,4,6,6,0,1,1,0,3,5,0,2,5,5,9,7,0,3,3,0,4,7,0,2,6,4,7,6,0,2,2,0,3,5,0,2,5,0.571738004684
apache1,108,8,110,57,0,59,35,0,17,14,0,34,21,2,9,9,0,2,2,0,1,3,0,6,8,2,9,9,0,2,2,0,1,3,0,6,8,2,15,11,0,6,6,0,1,6,0,8,9,0.783614873886
apache1,307,9,110,57,0,59,35,0,22,17,0,29,20,3,9,9,0,2,2,0,3,7,0,4,8,3,10,9,0,3,3,0,3,7,0,4,8,3,15,11,0,6,6,0,3,8,0,6,9,0.830569028854
