# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitiveall
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,10,120,61,0,59,35,0,28,20,0,33,21,10,30,14,0,10,6,0,7,8,0,13,11,10,32,14,0,11,6,0,7,9,0,14,12,10,34,15,0,11,6,0,7,9,0,16,12,8.99368190765
apache1,248,8,120,61,0,59,35,0,28,20,0,33,22,8,30,14,0,10,6,0,9,9,0,11,10,8,32,14,0,11,6,0,9,10,0,12,11,8,34,15,0,11,6,0,9,10,0,14,11,9.50448083878
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,7,28,14,0,8,5,0,9,9,0,11,11,7,30,14,0,10,6,0,9,9,0,11,11,7,31,14,0,11,6,0,9,10,0,11,11,7.95899295807
apache1,266,12,120,61,0,59,35,0,29,22,0,32,21,10,36,17,0,10,6,0,13,13,0,13,11,10,37,17,0,11,6,0,13,13,0,13,11,10,38,17,0,11,6,0,14,14,0,13,11,11.4041998386
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,17,8,0,6,3,0,6,8,0,5,6,4,19,8,0,8,4,0,6,8,0,5,6,4,19,8,0,8,4,0,6,8,0,5,6,3.64899492264
apache1,293,10,110,57,0,59,35,0,22,16,0,29,20,6,27,14,0,8,5,0,9,8,0,10,11,6,29,14,0,10,6,0,9,8,0,10,12,6,30,14,0,11,6,0,9,9,0,10,12,7.35794115067
apache1,186,8,100,53,0,59,35,0,17,12,0,24,14,6,17,8,0,6,3,0,5,8,0,6,6,6,19,8,0,8,4,0,5,8,0,6,6,6,19,8,0,8,4,0,5,8,0,6,6,3.5181210041
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,9,6,0,2,1,0,4,5,0,3,5,5,15,7,0,6,3,0,6,7,0,3,6,4,11,6,0,4,2,0,4,5,0,3,5,2.30204200745
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,14,8,0,4,2,0,5,7,0,5,7,3,20,9,0,8,4,0,7,8,0,5,7,3,20,9,0,8,4,0,7,8,0,5,7,3.83117485046
apache1,157,8,120,61,0,59,35,0,28,19,0,33,21,6,29,14,0,10,6,0,10,11,0,9,9,6,33,15,0,11,6,0,10,11,0,12,11,6,33,15,0,11,6,0,10,11,0,12,10,9.19388198853
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,17,10,0,4,2,0,5,6,0,8,9,4,23,11,0,8,4,0,7,8,0,8,9,4,23,11,0,8,4,0,7,8,0,8,9,4.70571684837
apache1,270,11,120,61,0,59,35,0,31,23,0,30,21,5,15,8,0,4,2,0,6,8,0,5,7,5,17,8,0,6,3,0,6,8,0,5,7,5,17,8,0,6,3,0,6,8,0,5,7,3.49481296539
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,10,7,0,2,1,0,4,6,0,4,6,4,16,8,0,6,3,0,4,7,0,6,7,4,16,8,0,6,3,0,4,7,0,6,7,3.0126209259
apache1,380,5,110,57,0,59,35,0,32,22,0,19,14,3,24,12,0,8,5,0,12,10,0,4,6,3,27,12,0,11,6,0,12,10,0,4,6,3,26,12,0,10,6,0,12,10,0,4,6,6.15487217903
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,14,7,0,6,3,0,4,7,0,4,6,2,18,8,0,8,4,0,6,8,0,4,6,2,18,8,0,8,4,0,6,8,0,4,6,3.4448158741
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,24,12,0,8,5,0,11,10,0,5,7,5,27,12,0,11,6,0,11,10,0,5,7,5,26,12,0,10,6,0,11,10,0,5,7,6.62605810165
apache1,416,6,110,57,0,59,35,0,29,20,0,22,15,4,15,8,0,4,2,0,6,8,0,5,6,4,19,8,0,8,4,0,6,8,0,5,6,4,17,8,0,6,3,0,6,8,0,5,6,3.34877300262
apache1,391,8,110,57,0,59,35,0,22,16,0,29,19,6,16,9,0,4,2,0,7,7,0,5,8,6,18,9,0,6,3,0,7,7,0,5,8,6,20,9,0,8,4,0,7,7,0,5,8,3.7186498642
apache1,389,6,124,61,0,59,35,0,22,16,0,43,29,4,21,11,0,6,3,0,6,7,0,9,10,4,23,11,0,8,4,0,6,7,0,9,10,4,23,11,0,8,4,0,6,7,0,9,10,5.22218585014
apache1,345,12,120,61,0,59,35,0,27,20,0,34,24,10,30,14,0,10,6,0,9,9,0,11,11,10,34,15,0,11,6,0,9,9,0,14,13,10,34,15,0,11,6,0,9,9,0,14,12,10.6477441788
