# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitiveall --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,8,31,15,0,10,6,0,8,9,0,13,11,8,33,15,0,11,6,0,8,10,0,14,12,8,35,16,0,11,6,0,8,10,0,16,12,11.109719038
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,27,12,0,10,6,0,8,8,0,9,9,6,31,13,0,11,6,0,8,9,0,12,11,6,31,13,0,11,6,0,8,9,0,12,10,7.23849606514
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,7,28,14,0,8,5,0,9,9,0,11,11,7,30,14,0,10,6,0,9,9,0,11,11,7,31,14,0,11,6,0,9,10,0,11,11,7.18130612373
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,8,35,16,0,10,6,0,13,13,0,12,10,8,36,16,0,11,6,0,13,13,0,12,10,8,37,16,0,11,6,0,14,14,0,12,10,9.5615029335
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,17,8,0,6,3,0,6,8,0,5,6,4,19,8,0,8,4,0,6,8,0,5,6,4,19,8,0,8,4,0,6,8,0,5,6,3.01605796814
apache1,293,6,110,57,0,59,35,0,22,16,0,29,20,5,27,14,0,8,5,0,9,9,0,10,11,5,29,14,0,10,6,0,9,9,0,10,11,5,30,14,0,11,6,0,9,10,0,10,11,6.43955087662
apache1,186,4,100,53,0,59,35,0,17,12,0,24,14,4,17,8,0,6,3,0,5,7,0,6,6,4,19,8,0,8,4,0,5,7,0,6,6,4,19,8,0,8,4,0,5,8,0,6,6,2.92521500587
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,9,6,0,2,1,0,4,5,0,3,5,5,15,7,0,6,3,0,6,7,0,3,6,4,11,6,0,4,2,0,4,5,0,3,5,1.95126008987
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,14,8,0,4,2,0,5,7,0,5,7,3,20,9,0,8,4,0,7,8,0,5,7,3,20,9,0,8,4,0,7,8,0,5,7,3.15300917625
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,33,15,0,10,6,0,10,11,0,13,11,4,34,15,0,11,6,0,10,11,0,13,11,4,37,16,0,11,6,0,10,11,0,16,12,9.50758981705
