# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitiveraw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,8,13,10,0,3,3,0,4,7,0,6,8,8,15,10,0,5,5,0,4,7,0,6,8,8,17,11,0,6,6,0,4,9,0,7,9,3.13596010208
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,6,12,7,0,4,4,0,4,7,0,4,6,6,12,7,0,4,4,0,4,7,0,4,6,2.51884698868
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,5,12,10,0,2,2,0,3,7,0,7,9,5,13,10,0,3,3,0,3,7,0,7,9,5,16,11,0,6,6,0,3,8,0,7,9,3.30823302269
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,7,11,9,0,1,1,0,5,8,0,5,8,8,17,11,0,6,6,0,6,10,0,5,8,8,17,11,0,6,6,0,6,10,0,5,8,3.13986182213
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,9,7,0,2,2,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,4,10,7,0,3,3,0,3,7,0,4,6,2.13659882545
apache1,293,6,110,57,0,59,35,0,22,16,0,29,20,5,12,10,0,2,2,0,4,7,0,6,9,5,13,10,0,3,3,0,4,7,0,6,9,5,16,11,0,6,6,0,4,8,0,6,9,3.12537789345
apache1,186,4,100,53,0,59,35,0,17,12,0,24,14,4,9,7,0,3,3,0,2,6,0,4,6,4,10,7,0,4,4,0,2,6,0,4,6,4,10,7,0,4,4,0,2,7,0,4,6,1.96200180054
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,7,6,0,1,1,0,4,5,0,2,5,5,11,7,0,4,4,0,5,7,0,2,6,4,8,6,0,2,2,0,4,5,0,2,5,1.93655395508
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,2,6,6,0,1,1,0,2,4,0,3,6,3,9,7,0,3,3,0,3,6,0,3,6,3,9,7,0,3,3,0,3,6,0,3,6,2.04615306854
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,10,7,0,2,2,0,4,7,0,4,6,4,12,7,0,4,4,0,4,7,0,4,6,4,12,7,0,4,4,0,4,7,0,4,6,2.41264486313
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,7,6,0,1,1,0,2,5,0,4,6,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.11363792419
apache1,270,9,120,61,0,59,35,0,31,23,0,30,21,7,13,10,0,2,2,0,7,10,0,4,8,7,17,11,0,6,6,0,7,10,0,4,8,7,17,11,0,6,6,0,7,10,0,4,8,3.48169803619
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,7,6,0,1,1,0,3,6,0,3,5,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.11552882195
apache1,380,4,110,57,0,59,35,0,32,22,0,19,14,3,12,10,0,2,2,0,9,10,0,1,4,3,16,11,0,6,6,0,9,10,0,1,5,3,12,10,0,2,2,0,9,10,0,1,4,3.12741804123
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,8,6,0,2,2,0,2,5,0,4,6,2,11,7,0,4,4,0,3,6,0,4,6,2,10,7,0,3,3,0,3,6,0,4,6,2.15434789658
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,10,9,0,1,1,0,7,9,0,2,6,5,16,11,0,6,6,0,8,10,0,2,6,5,13,10,0,3,3,0,8,10,0,2,6,3.07542896271
apache1,416,4,110,57,0,59,35,0,29,20,0,22,15,4,9,7,0,2,2,0,4,7,0,3,6,4,11,7,0,4,4,0,4,7,0,3,6,4,10,7,0,3,3,0,4,7,0,3,6,2.33934307098
apache1,391,4,110,57,0,59,35,0,22,16,0,29,19,3,9,7,0,2,2,0,4,7,0,3,6,3,10,7,0,3,3,0,4,7,0,3,6,3,11,7,0,4,4,0,4,7,0,3,6,2.27642416954
apache1,389,6,124,61,0,59,35,0,22,16,0,43,29,4,9,7,0,2,2,0,4,7,0,3,6,4,10,7,0,3,3,0,4,7,0,3,6,4,11,7,0,4,4,0,4,7,0,3,6,2.29588794708
apache1,345,8,120,61,0,59,35,0,27,20,0,34,24,4,13,10,0,4,4,0,6,9,0,3,6,4,17,11,0,6,6,0,6,9,0,5,9,4,15,10,0,6,6,0,6,9,0,3,6,3.18325614929
apache1,160,3,110,57,0,59,35,0,17,14,0,34,20,2,10,7,0,3,3,0,1,4,0,6,6,2,10,7,0,3,3,0,1,4,0,6,6,2,11,7,0,4,4,0,1,5,0,6,6,2.1234061718
apache1,409,4,113,57,0,59,35,0,33,25,0,21,13,3,6,6,0,2,2,0,1,4,0,3,5,4,10,7,0,4,4,0,2,6,0,4,6,3,7,6,0,3,3,0,1,5,0,3,5,1.86309504509
apache1,115,8,120,61,0,59,35,0,19,20,0,42,30,4,7,6,0,1,1,0,2,5,0,4,5,4,8,6,0,2,2,0,2,5,0,4,5,4,11,7,0,4,4,0,2,7,0,5,6,2.09591889381
apache1,265,9,120,61,0,59,35,0,33,24,0,28,20,6,11,9,0,3,3,0,3,5,0,5,8,7,15,10,0,6,6,0,4,7,0,5,8,7,17,11,0,6,6,0,6,10,0,5,8,3.13080501556
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,3,6,6,0,2,2,0,1,4,0,3,5,4,10,7,0,4,4,0,2,6,0,4,6,3,7,6,0,3,3,0,1,5,0,3,5,1.85359787941
apache1,236,6,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,6,12,7,0,4,4,0,4,7,0,4,6,6,12,7,0,4,4,0,4,7,0,4,6,2.56361317635
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,13,10,0,4,4,0,4,7,0,5,8,7,15,10,0,6,6,0,4,7,0,5,8,7,17,11,0,6,6,0,6,10,0,5,8,3.64473819733
apache1,299,6,110,57,0,59,35,0,22,16,0,29,20,2,10,9,0,1,1,0,3,5,0,6,9,3,13,10,0,3,3,0,4,7,0,6,9,3,16,11,0,6,6,0,4,8,0,6,9,3.17076897621
apache1,205,3,124,61,0,59,35,0,21,15,0,44,29,2,6,6,0,1,1,0,4,5,0,1,2,3,9,7,0,3,3,0,5,7,0,1,4,2,6,6,0,1,1,0,4,5,0,1,2,1.75079298019
apache1,235,6,120,61,0,59,35,0,27,19,0,34,23,4,11,9,0,3,3,0,6,8,0,2,5,4,17,11,0,6,6,0,6,9,0,5,9,4,15,10,0,6,6,0,6,9,0,3,6,3.18603587151
apache1,390,7,110,57,0,59,35,0,21,16,0,30,19,4,7,6,0,1,1,0,2,5,0,4,6,5,10,7,0,3,3,0,3,7,0,4,6,5,11,7,0,4,4,0,3,7,0,4,6,2.17775607109
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,2,7,6,0,1,1,0,3,5,0,3,6,2,11,7,0,4,4,0,4,6,0,3,6,2,10,7,0,3,3,0,4,6,0,3,6,2.35431814194
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,7,6,0,1,1,0,3,5,0,3,6,3,11,7,0,4,4,0,4,6,0,3,7,3,10,7,0,3,3,0,4,6,0,3,7,2.41741800308
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,2,7,6,0,1,1,0,3,5,0,3,6,3,10,7,0,3,3,0,4,7,0,3,6,3,11,7,0,4,4,0,4,7,0,3,6,2.08813810349
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,3,7,6,0,1,1,0,5,6,0,1,5,5,11,7,0,4,4,0,5,7,0,2,6,5,10,7,0,3,3,0,5,7,0,2,6,2.2417550087
apache1,245,6,120,61,0,59,35,0,28,19,0,33,22,4,11,9,0,3,3,0,6,8,0,2,5,4,17,11,0,6,6,0,6,9,0,5,9,4,15,10,0,6,6,0,6,9,0,3,6,3.01043105125
apache1,267,9,120,61,0,59,35,0,33,23,0,28,20,8,13,10,0,3,3,0,5,8,0,5,8,9,17,11,0,6,6,0,6,10,0,5,8,9,17,11,0,6,6,0,6,10,0,5,8,3.84787297249
apache1,51,4,102,55,0,59,35,0,32,21,0,11,13,2,9,9,0,3,3,0,4,5,0,2,7,2,11,9,0,5,5,0,4,5,0,2,7,4,15,11,0,6,6,0,6,10,0,3,8,2.39824795723
apache1,343,7,120,61,0,59,35,0,26,20,0,35,23,6,15,11,0,4,4,0,4,9,0,7,9,6,17,11,0,6,6,0,4,9,0,7,9,6,17,11,0,6,6,0,4,9,0,7,9,3.85636806488
apache1,382,4,110,57,0,59,35,0,33,23,0,18,14,3,8,7,0,2,2,0,5,7,0,1,3,3,9,7,0,3,3,0,5,7,0,1,4,3,8,7,0,2,2,0,5,7,0,1,3,1.9830300808
apache1,291,7,110,57,0,59,35,0,22,16,0,29,19,5,12,10,0,2,2,0,3,7,0,7,9,5,13,10,0,3,3,0,3,7,0,7,9,5,16,11,0,6,6,0,3,8,0,7,9,3.35134601593
apache1,303,6,144,69,0,59,35,0,41,32,0,44,30,5,7,6,0,1,1,0,2,5,0,4,6,6,11,7,0,4,4,0,3,7,0,4,6,6,10,7,0,3,3,0,3,7,0,4,6,2.38953709602
apache1,297,7,110,57,0,59,35,0,21,16,0,30,20,4,10,9,0,1,1,0,2,5,0,7,9,5,13,10,0,3,3,0,3,7,0,7,9,5,16,11,0,6,6,0,3,8,0,7,9,3.11819601059
apache1,243,6,120,61,0,59,35,0,26,19,0,35,23,4,11,9,0,3,3,0,5,8,0,3,5,4,17,11,0,6,6,0,5,9,0,6,9,4,15,10,0,6,6,0,5,9,0,4,6,3.36479306221
apache1,301,8,110,57,0,59,35,0,22,17,0,29,20,3,12,10,0,2,2,0,3,7,0,7,9,3,13,10,0,3,3,0,3,7,0,7,9,3,16,11,0,6,6,0,3,8,0,7,9,3.15211796761
apache1,271,6,107,57,0,59,35,0,33,22,0,15,14,4,10,9,0,3,3,0,4,5,0,3,7,4,12,9,0,5,5,0,4,5,0,3,7,6,16,11,0,6,6,0,6,10,0,4,8,3.0033659935
apache1,375,5,110,57,0,59,35,0,33,23,0,18,14,4,6,6,0,1,1,0,3,5,0,2,6,5,9,7,0,3,3,0,4,7,0,2,6,5,9,7,0,3,3,0,4,7,0,2,6,2.00279402733
apache1,203,5,110,57,0,59,35,0,22,16,0,29,19,2,10,9,0,1,1,0,2,4,0,7,9,3,13,10,0,3,3,0,3,6,0,7,9,3,16,11,0,6,6,0,3,7,0,7,9,3.35545897484
apache1,304,6,110,57,0,59,35,0,22,16,0,29,20,5,12,10,0,2,2,0,4,7,0,6,9,5,13,10,0,3,3,0,4,7,0,6,9,5,16,11,0,6,6,0,4,8,0,6,9,3.48514413834
apache1,141,6,110,57,0,59,35,0,19,15,0,32,20,4,10,9,0,1,1,0,2,6,0,7,8,4,13,10,0,3,3,0,2,7,0,8,9,4,16,11,0,6,6,0,2,8,0,8,9,3.42537713051
apache1,346,6,120,61,0,59,35,0,27,19,0,34,22,6,13,10,0,4,4,0,5,9,0,4,6,6,17,11,0,6,6,0,5,9,0,6,9,6,15,10,0,6,6,0,5,9,0,4,6,3.60899305344
apache1,415,4,124,61,0,59,35,0,44,29,0,21,13,4,9,7,0,3,3,0,3,6,0,3,6,4,11,7,0,4,4,0,3,6,0,4,6,4,10,7,0,4,4,0,3,7,0,3,6,2.49038910866
apache1,109,4,110,57,0,59,35,0,17,13,0,34,21,4,7,6,0,1,1,0,3,6,0,3,5,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.23235702515
apache1,142,5,110,57,0,59,35,0,19,15,0,32,20,2,12,10,0,2,2,0,1,3,0,9,9,2,12,10,0,2,2,0,1,3,0,9,9,2,16,11,0,6,6,0,1,6,0,9,9,3.33825016022
apache1,110,4,110,57,0,59,35,0,17,13,0,34,21,4,9,7,0,2,2,0,3,7,0,4,6,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.28089308739
apache1,244,6,120,61,0,59,35,0,26,18,0,35,21,2,6,6,0,1,1,0,2,4,0,3,4,2,7,6,0,2,2,0,2,4,0,3,4,4,9,7,0,3,3,0,2,6,0,4,6,1.87700891495
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,4,7,6,0,1,1,0,4,5,0,2,5,5,11,7,0,4,4,0,5,7,0,2,6,4,8,6,0,2,2,0,4,5,0,2,5,2.24966788292
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,5,9,7,0,2,2,0,4,7,0,3,6,5,10,7,0,3,3,0,4,7,0,3,6,5,11,7,0,4,4,0,4,7,0,3,6,2.50167584419
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,9,7,0,3,3,0,3,6,0,3,6,4,11,7,0,4,4,0,3,6,0,4,6,4,10,7,0,4,4,0,3,7,0,3,6,2.45284891129
apache1,394,5,97,53,0,59,35,0,22,15,0,16,15,5,8,9,0,1,1,0,3,5,0,4,8,5,9,9,0,2,2,0,3,5,0,4,8,5,14,11,0,6,6,0,3,8,0,5,9,2.73892903328
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,9,7,0,2,2,0,3,7,0,4,6,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.60177397728
apache1,155,4,110,57,0,59,35,0,17,14,0,34,20,4,8,6,0,2,2,0,2,6,0,4,5,4,11,7,0,4,4,0,2,7,0,5,6,4,11,7,0,4,4,0,2,7,0,5,6,2.59567022324
apache1,292,7,110,57,0,59,35,0,22,16,0,29,19,5,12,10,0,2,2,0,3,7,0,7,9,5,13,10,0,3,3,0,3,7,0,7,9,5,16,11,0,6,6,0,3,8,0,7,9,3.70402288437
apache1,339,8,120,61,0,59,35,0,28,20,0,33,21,8,13,10,0,3,3,0,4,7,0,6,8,8,15,10,0,5,5,0,4,7,0,6,8,8,17,11,0,6,6,0,4,9,0,7,9,3.54906892776
apache1,52,3,120,61,0,59,35,0,30,19,0,31,20,2,8,6,0,1,1,0,5,5,0,2,4,3,12,7,0,4,4,0,6,7,0,2,5,2,10,6,0,3,3,0,5,5,0,2,4,2.25161886215
apache1,335,8,140,69,0,59,35,0,37,28,0,44,32,4,9,7,0,2,2,0,3,7,0,4,6,4,10,7,0,3,3,0,3,7,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.55008602142
apache1,107,6,110,57,0,59,35,0,17,14,0,34,21,4,10,9,0,1,1,0,2,6,0,7,8,4,13,10,0,3,3,0,2,7,0,8,9,4,16,11,0,6,6,0,2,8,0,8,9,3.19977998734
apache1,414,4,124,61,0,59,35,0,42,30,0,23,16,2,8,7,0,2,2,0,1,3,0,5,6,2,8,7,0,2,2,0,1,3,0,5,6,2,9,7,0,3,3,0,1,4,0,5,6,2.20117688179
apache1,143,4,110,57,0,59,35,0,19,14,0,32,19,2,6,6,0,1,1,0,3,6,0,2,4,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,1.91827583313
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,6,7,6,0,1,1,0,3,5,0,3,6,7,11,7,0,4,4,0,4,7,0,3,6,7,10,7,0,3,3,0,4,7,0,3,6,2.17400193214
apache1,71,4,124,61,0,59,35,0,19,14,0,46,29,4,9,7,0,3,3,0,3,7,0,3,6,4,10,7,0,4,4,0,3,7,0,3,6,4,10,7,0,4,4,0,3,7,0,3,6,2.47127103806
