# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitivewar --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,4,7,7,0,1,1,0,2,5,0,4,6,4,8,7,0,2,2,0,2,5,0,4,6,4,10,8,0,3,3,0,2,7,0,5,7,1.95737814903
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,11,9,0,1,1,0,5,7,0,5,7,6,15,10,0,4,4,0,5,8,0,6,8,6,15,10,0,4,4,0,5,8,0,6,8,2.45452880859
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,6,7,7,0,1,1,0,3,6,0,3,6,7,10,8,0,3,3,0,4,8,0,3,6,7,10,8,0,3,3,0,4,8,0,3,6,1.83988404274
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,3,7,7,0,1,1,0,2,5,0,4,7,4,10,8,0,3,3,0,3,7,0,4,7,4,10,8,0,3,3,0,3,7,0,4,7,1.74283409119
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,7,7,0,2,2,0,2,7,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.38925600052
apache1,293,6,110,57,0,59,35,0,22,16,0,29,20,4,7,7,0,1,1,0,4,6,0,2,6,5,10,8,0,3,3,0,5,8,0,2,6,5,10,8,0,3,3,0,5,8,0,2,6,1.69699001312
apache1,186,4,100,53,0,59,35,0,17,12,0,24,14,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.32911896706
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,7,7,0,1,1,0,4,6,0,2,5,5,10,8,0,3,3,0,5,8,0,2,6,4,8,7,0,2,2,0,4,6,0,2,5,1.71553301811
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,2,7,7,0,1,1,0,2,4,0,4,7,3,10,8,0,3,3,0,3,6,0,4,7,3,10,8,0,3,3,0,3,6,0,4,7,1.90575480461
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,11,10,0,2,2,0,4,8,0,5,7,4,13,10,0,4,4,0,4,8,0,5,7,4,13,10,0,4,4,0,4,9,0,5,7,2.24342393875
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,7,7,0,1,1,0,3,6,0,3,6,4,10,8,0,3,3,0,4,8,0,3,6,4,10,8,0,3,3,0,4,8,0,3,6,1.79530692101
apache1,270,9,120,61,0,59,35,0,31,23,0,30,21,3,7,7,0,2,2,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,1.37746715546
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,7,7,0,1,1,0,3,6,0,3,6,4,10,8,0,3,3,0,3,7,0,4,7,4,10,8,0,3,3,0,3,7,0,4,7,1.84839606285
apache1,380,4,110,57,0,59,35,0,32,22,0,19,14,3,12,13,0,2,2,0,8,12,0,2,6,3,17,14,0,6,6,0,9,12,0,2,6,3,13,13,0,3,3,0,8,12,0,2,6,2.96439909935
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,7,7,0,1,1,0,1,5,0,5,7,2,10,8,0,3,3,0,2,6,0,5,7,2,10,8,0,3,3,0,2,6,0,5,7,1.85836911201
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,11,12,0,1,1,0,7,11,0,3,7,5,18,14,0,6,6,0,9,12,0,3,7,5,14,13,0,3,3,0,8,12,0,3,7,3.4127612114
apache1,416,4,110,57,0,59,35,0,29,20,0,22,15,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.38550901413
apache1,391,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,1.38847088814
