# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive --hazardsensitivewaw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,8,15,9,0,4,2,0,6,8,0,5,7,8,28,12,0,11,6,0,7,9,0,10,10,8,28,12,0,11,6,0,6,9,0,11,9,5.86613607407
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,15,9,0,4,2,0,7,8,0,4,7,6,28,12,0,11,6,0,8,9,0,9,10,6,28,12,0,11,6,0,7,9,0,10,9,5.01363301277
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,5,13,8,0,4,2,0,3,6,0,6,8,5,19,9,0,8,4,0,5,7,0,6,8,5,26,11,0,11,6,0,5,8,0,10,9,4.03725194931
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,7,15,9,0,4,2,0,4,7,0,7,8,8,28,12,0,11,6,0,8,10,0,9,9,8,28,12,0,11,6,0,9,11,0,8,8,4.94455599785
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,16,7,0,6,3,0,5,7,0,5,6,4,18,7,0,8,4,0,5,7,0,5,6,4,18,7,0,8,4,0,5,7,0,5,6,3.06341505051
apache1,293,6,110,57,0,59,35,0,22,16,0,29,20,5,13,8,0,4,2,0,4,6,0,5,8,5,19,9,0,8,4,0,6,7,0,5,8,5,26,11,0,11,6,0,6,8,0,9,9,3.913615942
apache1,186,4,100,53,0,59,35,0,17,12,0,24,14,4,15,7,0,6,3,0,3,6,0,6,6,4,17,7,0,8,4,0,3,6,0,6,6,4,17,7,0,8,4,0,3,7,0,6,6,2.50646495819
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,5,13,8,0,4,2,0,6,8,0,3,5,5,26,11,0,11,6,0,12,10,0,3,6,5,15,8,0,6,3,0,6,8,0,3,5,3.97848987579
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,12,6,0,4,2,0,4,6,0,4,6,3,18,7,0,8,4,0,6,7,0,4,6,3,18,7,0,8,4,0,6,7,0,4,6,2.77608799934
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,19,10,0,6,3,0,6,9,0,7,8,4,28,12,0,11,6,0,7,9,0,10,10,4,28,12,0,11,6,0,6,9,0,11,9,5.48627901077
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,12,6,0,4,2,0,3,5,0,5,6,4,18,7,0,8,4,0,5,7,0,5,6,4,18,7,0,8,4,0,5,7,0,5,6,2.72867894173
apache1,270,9,120,61,0,59,35,0,31,23,0,30,21,7,19,10,0,6,3,0,7,9,0,6,8,7,28,12,0,11,6,0,9,10,0,8,9,7,28,12,0,11,6,0,10,11,0,7,8,5.28332400322
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,12,6,0,4,2,0,5,6,0,3,5,4,18,7,0,8,4,0,5,7,0,5,6,4,18,7,0,8,4,0,5,7,0,5,6,2.91484594345
apache1,380,4,110,57,0,59,35,0,32,22,0,19,14,3,17,9,0,6,3,0,9,9,0,2,4,3,26,11,0,11,6,0,13,10,0,2,5,3,17,9,0,6,3,0,9,9,0,2,4,4.52631998062
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,12,6,0,4,2,0,4,6,0,4,6,2,18,7,0,8,4,0,6,7,0,4,6,2,18,7,0,8,4,0,6,7,0,4,6,2.86149001122
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,13,8,0,4,2,0,6,8,0,3,6,5,26,11,0,11,6,0,12,10,0,3,6,5,19,9,0,8,4,0,8,9,0,3,6,4.41463494301
apache1,416,4,110,57,0,59,35,0,29,20,0,22,15,4,17,9,0,6,3,0,6,9,0,5,6,4,26,11,0,11,6,0,10,10,0,5,6,4,19,9,0,8,4,0,6,9,0,5,6,4.42976093292
apache1,391,4,110,57,0,59,35,0,22,16,0,29,19,3,17,9,0,6,3,0,5,7,0,6,8,3,19,9,0,8,4,0,5,7,0,6,8,3,26,11,0,11,6,0,5,8,0,10,9,4.26718592644
apache1,389,6,124,61,0,59,35,0,22,16,0,43,29,4,16,7,0,6,3,0,6,7,0,4,6,4,18,7,0,8,4,0,6,7,0,4,6,4,18,7,0,8,4,0,6,7,0,4,6,3.23229789734
apache1,345,8,120,61,0,59,35,0,27,20,0,34,24,4,19,10,0,6,3,0,8,9,0,5,8,4,28,12,0,11,6,0,9,9,0,8,10,4,28,12,0,11,6,0,8,9,0,9,9,5.86302399635
apache1,160,3,110,57,0,59,35,0,17,14,0,34,20,2,17,9,0,6,3,0,2,4,0,9,8,2,17,9,0,6,3,0,2,4,0,9,8,2,26,11,0,11,6,0,2,6,0,13,9,4.14667606354
apache1,409,4,113,57,0,59,35,0,33,25,0,21,13,3,11,6,0,4,2,0,1,4,0,6,5,4,17,7,0,8,4,0,3,6,0,6,6,3,13,6,0,6,3,0,1,5,0,6,5,2.84059596062
apache1,115,8,120,61,0,59,35,0,19,20,0,42,30,4,12,6,0,4,2,0,3,5,0,5,5,4,14,6,0,6,3,0,3,5,0,5,5,4,18,7,0,8,4,0,3,7,0,7,6,2.94336295128
apache1,265,9,120,61,0,59,35,0,33,24,0,28,20,6,15,9,0,4,2,0,4,7,0,7,8,7,28,12,0,11,6,0,10,10,0,7,9,7,28,12,0,11,6,0,9,11,0,8,8,6.10283613205
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,3,11,6,0,4,2,0,1,4,0,6,5,4,17,7,0,8,4,0,3,6,0,6,6,3,13,6,0,6,3,0,1,5,0,6,5,2.64815211296
apache1,236,6,120,61,0,59,35,0,28,20,0,33,22,6,15,9,0,4,2,0,7,8,0,4,7,6,28,12,0,11,6,0,8,9,0,9,10,6,28,12,0,11,6,0,7,9,0,10,9,5.84892511368
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,19,10,0,6,3,0,6,9,0,7,8,7,28,12,0,11,6,0,10,10,0,7,9,7,28,12,0,11,6,0,9,11,0,8,8,6.14593601227
apache1,299,6,110,57,0,59,35,0,22,16,0,29,20,2,13,8,0,4,2,0,3,5,0,6,8,3,19,9,0,8,4,0,5,7,0,6,8,3,26,11,0,11,6,0,5,8,0,10,9,4.16621518135
apache1,205,3,124,61,0,59,35,0,21,15,0,44,29,2,12,6,0,4,2,0,5,5,0,3,4,3,18,7,0,8,4,0,7,7,0,3,5,2,14,6,0,6,3,0,5,5,0,3,4,2.91098499298
apache1,235,6,120,61,0,59,35,0,27,19,0,34,23,4,15,9,0,4,2,0,8,8,0,3,7,4,28,12,0,11,6,0,9,9,0,8,10,4,28,12,0,11,6,0,8,9,0,9,9,5.65608310699
apache1,390,7,110,57,0,59,35,0,21,16,0,30,19,4,13,8,0,4,2,0,2,5,0,7,8,5,19,9,0,8,4,0,4,7,0,7,8,5,26,11,0,11,6,0,4,8,0,11,9,4.66828298569
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,2,12,6,0,4,2,0,5,6,0,3,6,2,18,7,0,8,4,0,7,7,0,3,6,2,18,7,0,8,4,0,7,7,0,3,6,3.19333291054
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,13,6,0,4,2,0,4,5,0,5,6,5,19,7,0,8,4,0,5,6,0,6,7,5,19,7,0,8,4,0,5,6,0,6,7,3.59600114822
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,2,13,8,0,4,2,0,3,5,0,6,8,3,19,9,0,8,4,0,5,7,0,6,8,3,26,11,0,11,6,0,5,8,0,10,9,4.28469514847
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,5,13,6,0,4,2,0,7,6,0,2,5,5,19,7,0,8,4,0,7,7,0,4,6,5,19,7,0,8,4,0,7,7,0,4,6,3.54039311409
apache1,245,6,120,61,0,59,35,0,28,19,0,33,22,4,15,9,0,4,2,0,8,8,0,3,7,4,28,12,0,11,6,0,9,9,0,8,10,4,28,12,0,11,6,0,8,9,0,9,9,6.11207199097
apache1,267,9,120,61,0,59,35,0,33,23,0,28,20,8,15,9,0,4,2,0,5,7,0,6,8,9,28,12,0,11,6,0,11,10,0,6,9,9,28,12,0,11,6,0,10,11,0,7,8,5.84270000458
apache1,51,4,102,55,0,59,35,0,32,21,0,11,13,2,13,9,0,4,2,0,7,7,0,2,7,2,22,11,0,9,5,0,11,8,0,2,7,4,26,12,0,11,6,0,10,11,0,5,8,5.67765212059
apache1,343,7,120,61,0,59,35,0,26,20,0,35,23,6,19,10,0,6,3,0,6,9,0,7,8,6,28,12,0,11,6,0,7,9,0,10,10,6,28,12,0,11,6,0,6,9,0,11,9,6.40717506409
apache1,382,4,110,57,0,59,35,0,33,23,0,18,14,3,17,9,0,6,3,0,9,9,0,2,3,3,26,11,0,11,6,0,13,10,0,2,5,3,17,9,0,6,3,0,9,9,0,2,3,4.9319088459
