# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --flowsensitive
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,10,120,61,0,59,35,0,28,20,0,33,21,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,4,9,7,0,3,3,0,2,7,0,4,6,1.57889103889
apache1,248,8,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,6,12,7,0,4,4,0,4,7,0,4,6,6,12,7,0,4,4,0,4,7,0,4,6,2.15406703949
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,4,6,6,0,1,1,0,2,5,0,3,6,5,9,7,0,3,3,0,3,7,0,3,6,5,9,7,0,3,3,0,3,7,0,3,6,1.46369600296
apache1,266,12,120,61,0,59,35,0,29,22,0,32,21,3,6,6,0,1,1,0,2,5,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,1.45899105072
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,7,7,0,2,2,0,2,7,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.48359084129
apache1,293,10,110,57,0,59,35,0,22,16,0,29,20,4,6,6,0,1,1,0,3,5,0,2,6,4,9,7,0,3,3,0,4,6,0,2,7,4,9,7,0,3,3,0,4,6,0,2,7,1.49634790421
apache1,186,8,100,53,0,59,35,0,17,12,0,24,14,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.24882507324
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,6,6,0,1,1,0,3,5,0,2,5,5,9,7,0,3,3,0,4,7,0,2,6,4,7,6,0,2,2,0,3,5,0,2,5,1.44654989243
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,2,6,6,0,1,1,0,2,4,0,3,6,3,9,7,0,3,3,0,3,6,0,3,6,3,9,7,0,3,3,0,3,6,0,3,6,1.51013612747
apache1,157,8,120,61,0,59,35,0,28,19,0,33,21,4,9,7,0,2,2,0,3,6,0,4,6,4,11,7,0,4,4,0,3,6,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,2.59202694893
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,6,6,0,1,1,0,2,5,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,2.04181313515
apache1,270,11,120,61,0,59,35,0,31,23,0,30,21,3,7,7,0,2,2,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,3,8,7,0,3,3,0,3,7,0,2,6,2.01894903183
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,2,6,6,0,1,1,0,3,6,0,2,4,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,1.90357899666
apache1,380,5,110,57,0,59,35,0,32,22,0,19,14,3,9,9,0,2,2,0,6,9,0,1,4,3,15,11,0,6,6,0,8,10,0,1,5,3,9,9,0,2,2,0,6,9,0,1,4,4.05959510803
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,6,6,0,1,1,0,1,5,0,4,6,2,9,7,0,3,3,0,2,6,0,4,6,2,9,7,0,3,3,0,2,6,0,4,6,2.73433303833
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,8,8,0,1,1,0,5,8,0,2,6,5,16,11,0,6,6,0,8,10,0,2,6,5,11,9,0,3,3,0,6,9,0,2,6,3.07024502754
apache1,416,6,110,57,0,59,35,0,29,20,0,22,15,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,1.64123892784
apache1,391,8,110,57,0,59,35,0,22,16,0,29,19,4,7,7,0,2,2,0,3,6,0,2,7,4,8,7,0,3,3,0,3,6,0,2,7,4,8,7,0,3,3,0,3,6,0,2,7,1.52093505859
apache1,389,6,124,61,0,59,35,0,22,16,0,43,29,4,7,7,0,2,2,0,3,7,0,2,6,4,8,7,0,3,3,0,3,7,0,2,6,4,8,7,0,3,3,0,3,7,0,2,6,1.63490414619
apache1,345,12,120,61,0,59,35,0,27,20,0,34,24,4,9,9,0,2,2,0,5,9,0,2,6,4,15,11,0,6,6,0,5,9,0,4,9,4,10,9,0,3,3,0,5,9,0,2,6,2.5895550251
apache1,160,6,110,57,0,59,35,0,17,14,0,34,20,2,9,7,0,3,3,0,1,4,0,5,6,2,9,7,0,3,3,0,1,4,0,5,6,2,10,7,0,4,4,0,1,5,0,5,6,1.78541398048
apache1,409,3,113,57,0,59,35,0,33,25,0,21,13,3,6,6,0,2,2,0,1,4,0,3,5,3,10,7,0,4,4,0,2,5,0,4,6,3,7,6,0,3,3,0,1,5,0,3,5,1.49728107452
apache1,115,7,120,61,0,59,35,0,19,20,0,42,30,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,5,9,7,0,3,3,0,2,6,0,4,7,1.61133313179
apache1,265,10,120,61,0,59,35,0,33,24,0,28,20,4,8,8,0,1,1,0,2,5,0,5,8,6,11,9,0,3,3,0,3,6,0,5,9,6,16,11,0,6,6,0,5,9,0,5,9,2.42840003967
apache1,426,3,109,57,0,59,35,0,29,22,0,21,13,3,6,6,0,2,2,0,1,4,0,3,5,3,10,7,0,4,4,0,2,5,0,4,6,3,7,6,0,3,3,0,1,5,0,3,5,1.49300503731
apache1,236,8,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,6,12,7,0,4,4,0,4,7,0,4,6,6,12,7,0,4,4,0,4,7,0,4,6,2.16683316231
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,5,9,9,0,2,2,0,3,7,0,4,8,5,10,9,0,3,3,0,3,7,0,4,8,7,15,11,0,6,6,0,5,10,0,4,8,2.41585993767
apache1,299,9,110,57,0,59,35,0,22,16,0,29,20,2,8,8,0,1,1,0,3,5,0,4,8,3,11,9,0,3,3,0,4,7,0,4,8,3,16,11,0,6,6,0,4,8,0,6,9,2.6299328804
apache1,205,5,124,61,0,59,35,0,21,15,0,44,29,2,6,6,0,1,1,0,4,5,0,1,2,3,9,7,0,3,3,0,5,7,0,1,4,2,6,6,0,1,1,0,4,5,0,1,2,1.37942409515
