# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitivewar --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,4,10,8,0,59,35,0,28,20,0,33,21,0,3,3,0,2,7,0,5,7,1.6535949707
apache1,248,6,120,61,6,15,10,0,59,35,0,28,20,0,33,22,0,4,4,0,5,8,0,6,8,2.28235816956
apache1,392,7,110,57,7,10,8,0,59,35,0,22,16,0,29,19,0,3,3,0,4,8,0,3,6,1.67421293259
apache1,266,8,120,61,4,10,8,0,59,35,0,29,22,0,32,21,0,3,3,0,3,7,0,4,7,1.66829299927
apache1,369,8,124,61,4,8,7,0,59,35,0,45,31,0,20,15,0,3,3,0,2,7,0,3,6,1.31396198273
apache1,293,6,110,57,5,10,8,0,59,35,0,22,16,0,29,20,0,3,3,0,5,8,0,2,6,1.70669078827
apache1,186,4,100,53,4,8,7,0,59,35,0,17,12,0,24,14,0,3,3,0,2,7,0,3,6,1.25326013565
apache1,385,5,110,57,5,10,8,0,59,35,0,32,22,0,19,13,0,3,3,0,5,8,0,2,6,2.7498459816
apache1,367,3,124,61,3,10,8,0,59,35,0,46,31,0,19,14,0,3,3,0,3,6,0,4,7,2.35949897766
apache1,157,4,120,61,4,13,10,0,59,35,0,28,19,0,33,21,0,4,4,0,4,9,0,5,7,3.27284908295
apache1,283,4,124,61,4,10,8,0,59,35,0,21,16,0,44,29,0,3,3,0,4,8,0,3,6,2.04515004158
apache1,270,9,120,61,3,8,7,0,59,35,0,31,23,0,30,21,0,3,3,0,3,7,0,2,6,1.38733386993
apache1,114,6,120,61,4,10,8,0,59,35,0,19,19,0,42,29,0,3,3,0,3,7,0,4,7,1.70668292046
apache1,380,4,110,57,3,17,14,0,59,35,0,32,22,0,19,14,0,6,6,0,9,12,0,2,6,3.02222299576
apache1,370,4,124,61,2,10,8,0,59,35,0,44,30,0,21,15,0,3,3,0,2,6,0,5,7,1.67594003677
apache1,373,5,110,57,5,18,14,0,59,35,0,32,22,0,19,14,0,6,6,0,9,12,0,3,7,2.59658789635
apache1,416,4,110,57,4,8,7,0,59,35,0,29,20,0,22,15,0,3,3,0,2,7,0,3,6,1.23800301552
apache1,391,4,110,57,3,8,7,0,59,35,0,22,16,0,29,19,0,3,3,0,3,7,0,2,6,1.20598292351
apache1,389,6,124,61,4,8,7,0,59,35,0,22,16,0,43,29,0,3,3,0,3,7,0,2,6,1.18197703362
apache1,345,8,120,61,6,17,12,0,59,35,0,27,20,0,34,24,0,6,6,0,6,10,0,5,10,2.4095249176
apache1,160,3,110,57,2,11,9,0,59,35,0,17,14,0,34,20,0,4,4,0,1,5,0,6,8,1.63547301292
apache1,409,4,113,57,4,11,8,0,59,35,0,33,25,0,21,13,0,4,4,0,3,8,0,4,6,1.6473429203
apache1,115,8,120,61,4,10,8,0,59,35,0,19,20,0,42,30,0,3,3,0,2,7,0,5,7,1.62507796288
apache1,265,9,120,61,9,19,13,0,59,35,0,33,24,0,28,20,0,6,6,0,7,12,0,6,9,2.80296611786
apache1,426,4,109,57,4,11,8,0,59,35,0,29,22,0,21,13,0,4,4,0,3,8,0,4,6,1.64546585083
apache1,236,6,120,61,6,15,10,0,59,35,0,28,20,0,33,22,0,4,4,0,6,9,0,5,7,2.07449817657
apache1,273,7,120,61,7,16,12,0,59,35,0,33,22,0,28,18,0,6,6,0,6,11,0,4,8,2.46640086174
apache1,299,6,110,57,5,19,14,0,59,35,0,22,16,0,29,20,0,6,6,0,6,10,0,7,11,2.54115891457
apache1,205,3,124,61,3,10,8,0,59,35,0,21,15,0,44,29,0,3,3,0,5,7,0,2,6,1.43497300148
apache1,235,6,120,61,4,18,13,0,59,35,0,27,19,0,34,23,0,6,6,0,6,10,0,6,10,2.68860507011
apache1,390,7,110,57,5,10,8,0,59,35,0,21,16,0,30,19,0,3,3,0,4,8,0,3,6,1.52046203613
apache1,368,4,124,61,4,10,8,0,59,35,0,46,31,0,19,15,0,3,3,0,4,8,0,3,6,1.65105295181
apache1,128,5,140,69,3,10,8,0,59,35,0,42,33,0,39,28,0,3,3,0,4,7,0,3,7,1.72933411598
apache1,289,6,110,57,3,10,8,0,59,35,0,21,16,0,30,20,0,3,3,0,5,8,0,2,6,1.51028299332
apache1,328,9,140,69,5,10,8,0,59,35,0,40,30,0,41,27,0,3,3,0,4,7,0,3,7,1.7199010849
apache1,245,6,120,61,4,18,13,0,59,35,0,28,19,0,33,22,0,6,6,0,6,10,0,6,10,2.53213596344
