# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --hazardsensitivewaw --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,340,8,120,61,8,32,13,0,59,35,0,28,20,0,33,21,0,11,6,0,7,9,0,14,11,6.79464483261
apache1,248,6,120,61,6,32,13,0,59,35,0,28,20,0,33,22,0,11,6,0,8,9,0,13,11,5.97725582123
apache1,392,7,110,57,5,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,5,8,0,10,9,4.07361984253
apache1,266,8,120,61,8,32,13,0,59,35,0,29,22,0,32,21,0,11,6,0,11,12,0,10,9,8.15270185471
apache1,369,8,124,61,4,18,7,0,59,35,0,45,31,0,20,15,0,8,4,0,5,7,0,5,6,2.09480309486
apache1,293,6,110,57,5,26,11,0,59,35,0,22,16,0,29,20,0,11,6,0,6,8,0,9,9,4.18180704117
apache1,186,4,100,53,4,17,7,0,59,35,0,17,12,0,24,14,0,8,4,0,3,7,0,6,6,2.20334219933
apache1,385,5,110,57,5,26,11,0,59,35,0,32,22,0,19,13,0,11,6,0,12,10,0,3,6,4.21111297607
apache1,367,3,124,61,3,18,7,0,59,35,0,46,31,0,19,14,0,8,4,0,6,7,0,4,6,2.05473804474
apache1,157,4,120,61,4,32,13,0,59,35,0,28,19,0,33,21,0,11,6,0,7,9,0,14,11,6.20828413963
apache1,283,4,124,61,4,18,7,0,59,35,0,21,16,0,44,29,0,8,4,0,5,7,0,5,6,2.15059089661
apache1,270,9,120,61,7,32,13,0,59,35,0,31,23,0,30,21,0,11,6,0,12,12,0,9,9,5.95821905136
apache1,114,6,120,61,4,18,7,0,59,35,0,19,19,0,42,29,0,8,4,0,5,7,0,5,6,2.03417992592
apache1,380,4,110,57,3,26,11,0,59,35,0,32,22,0,19,14,0,11,6,0,13,10,0,2,5,3.91435313225
apache1,370,4,124,61,2,18,7,0,59,35,0,44,30,0,21,15,0,8,4,0,6,7,0,4,6,2.16459202766
apache1,373,5,110,57,5,26,11,0,59,35,0,32,22,0,19,14,0,11,6,0,12,10,0,3,6,3.621737957
apache1,416,4,110,57,4,26,11,0,59,35,0,29,20,0,22,15,0,11,6,0,10,10,0,5,6,3.6579580307
apache1,391,4,110,57,3,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,5,8,0,10,9,4.00503897667
apache1,389,6,124,61,4,18,7,0,59,35,0,22,16,0,43,29,0,8,4,0,6,7,0,4,6,2.23847389221
apache1,345,8,120,61,4,32,13,0,59,35,0,27,20,0,34,24,0,11,6,0,9,9,0,12,11,5.98068213463
apache1,160,3,110,57,2,26,11,0,59,35,0,17,14,0,34,20,0,11,6,0,2,6,0,13,9,3.42612886429
apache1,409,4,113,57,4,17,7,0,59,35,0,33,25,0,21,13,0,8,4,0,3,7,0,6,6,2.08236503601
apache1,115,8,120,61,4,18,7,0,59,35,0,19,20,0,42,30,0,8,4,0,3,7,0,7,6,2.35289692879
apache1,265,9,120,61,7,32,13,0,59,35,0,33,24,0,28,20,0,11,6,0,13,12,0,8,9,5.45263910294
apache1,426,4,109,57,4,17,7,0,59,35,0,29,22,0,21,13,0,8,4,0,3,7,0,6,6,2.01458692551
apache1,236,6,120,61,6,32,13,0,59,35,0,28,20,0,33,22,0,11,6,0,8,9,0,13,11,5.49217295647
apache1,273,7,120,61,7,32,13,0,59,35,0,33,22,0,28,18,0,11,6,0,13,12,0,8,9,5.86642098427
apache1,299,6,110,57,3,26,11,0,59,35,0,22,16,0,29,20,0,11,6,0,5,8,0,10,9,3.463586092
apache1,205,3,124,61,3,18,7,0,59,35,0,21,15,0,44,29,0,8,4,0,7,7,0,3,5,2.11032414436
apache1,235,6,120,61,4,32,13,0,59,35,0,27,19,0,34,23,0,11,6,0,9,9,0,12,11,5.7820250988
apache1,390,7,110,57,5,26,11,0,59,35,0,21,16,0,30,19,0,11,6,0,4,8,0,11,9,3.86047387123
apache1,368,4,124,61,2,18,7,0,59,35,0,46,31,0,19,15,0,8,4,0,7,7,0,3,6,2.20970201492
apache1,128,5,140,69,5,19,7,0,59,35,0,42,33,0,39,28,0,8,4,0,5,6,0,6,7,2.37617516518
apache1,289,6,110,57,3,26,11,0,59,35,0,21,16,0,30,20,0,11,6,0,5,8,0,10,9,3.38943099976
apache1,328,9,140,69,5,19,7,0,59,35,0,40,30,0,41,27,0,8,4,0,7,7,0,4,6,2.24489092827
apache1,245,6,120,61,4,32,13,0,59,35,0,28,19,0,33,22,0,11,6,0,9,9,0,12,11,5.93188405037
apache1,267,9,120,61,9,32,13,0,59,35,0,33,23,0,28,20,0,11,6,0,14,12,0,7,9,6.39903593063
apache1,51,4,102,55,4,30,13,0,59,35,0,32,21,0,11,13,0,11,6,0,14,12,0,5,9,5.01064705849
apache1,343,7,120,61,6,32,13,0,59,35,0,26,20,0,35,23,0,11,6,0,7,9,0,14,11,6.55961990356
apache1,382,4,110,57,3,26,11,0,59,35,0,33,23,0,18,14,0,11,6,0,13,10,0,2,5,3.85375213623
apache1,291,7,110,57,5,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,5,8,0,10,9,4.39988398552
apache1,303,6,144,69,6,19,7,0,59,35,0,41,32,0,44,30,0,8,4,0,5,7,0,6,6,2.47439694405
apache1,297,7,110,57,5,26,11,0,59,35,0,21,16,0,30,20,0,11,6,0,4,8,0,11,9,3.35002398491
apache1,243,6,120,61,4,32,13,0,59,35,0,26,19,0,35,23,0,11,6,0,8,9,0,13,11,6.28035902977
apache1,301,8,110,57,3,26,11,0,59,35,0,22,17,0,29,20,0,11,6,0,4,8,0,11,9,3.33738803864
apache1,271,6,107,57,6,31,13,0,59,35,0,33,22,0,15,14,0,11,6,0,13,12,0,7,9,5.54298186302
apache1,375,5,110,57,5,26,11,0,59,35,0,33,23,0,18,14,0,11,6,0,12,10,0,3,6,3.48795819283
apache1,203,5,110,57,3,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,4,7,0,11,9,3.49967885017
apache1,304,6,110,57,5,26,11,0,59,35,0,22,16,0,29,20,0,11,6,0,6,8,0,9,9,3.67952394485
apache1,141,6,110,57,4,26,11,0,59,35,0,19,15,0,32,20,0,11,6,0,3,8,0,12,9,3.62623000145
apache1,346,6,120,61,6,32,13,0,59,35,0,27,19,0,34,22,0,11,6,0,8,9,0,13,11,6.51022720337
apache1,415,4,124,61,4,18,7,0,59,35,0,44,29,0,21,13,0,8,4,0,4,7,0,6,6,2.31381607056
apache1,109,4,110,57,4,26,11,0,59,35,0,17,13,0,34,21,0,11,6,0,5,8,0,10,9,3.34305095673
apache1,142,5,110,57,2,26,11,0,59,35,0,19,15,0,32,20,0,11,6,0,2,6,0,13,9,3.67452192307
apache1,110,4,110,57,4,26,11,0,59,35,0,17,13,0,34,21,0,11,6,0,4,8,0,11,9,3.67405104637
apache1,244,6,120,61,6,32,13,0,59,35,0,26,18,0,35,21,0,11,6,0,6,8,0,15,11,5.89034605026
apache1,49,7,120,61,7,32,13,0,59,35,0,31,21,0,30,21,0,11,6,0,11,10,0,10,11,6.54773592949
apache1,204,5,110,57,5,26,11,0,59,35,0,22,15,0,29,19,0,11,6,0,6,8,0,9,9,3.34762120247
apache1,425,4,120,61,4,18,7,0,59,35,0,40,26,0,21,13,0,8,4,0,4,7,0,6,6,2.19694399834
apache1,394,5,97,53,5,25,11,0,59,35,0,22,15,0,16,15,0,11,6,0,6,8,0,8,9,3.42966389656
apache1,330,8,140,69,4,19,7,0,59,35,0,37,28,0,44,32,0,8,4,0,4,7,0,7,6,2.30810403824
apache1,155,4,110,57,4,26,11,0,59,35,0,17,14,0,34,20,0,11,6,0,3,8,0,12,9,3.38511800766
apache1,292,7,110,57,5,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,5,8,0,10,9,4.15386295319
apache1,339,8,120,61,8,32,13,0,59,35,0,28,20,0,33,21,0,11,6,0,7,9,0,14,11,5.74865412712
apache1,52,3,120,61,3,32,13,0,59,35,0,30,19,0,31,20,0,11,6,0,10,9,0,11,10,5.60719609261
apache1,335,8,140,69,4,19,7,0,59,35,0,37,28,0,44,32,0,8,4,0,4,7,0,7,6,2.36627817154
apache1,107,6,110,57,4,26,11,0,59,35,0,17,14,0,34,21,0,11,6,0,3,8,0,12,9,3.61317515373
apache1,414,4,124,61,2,18,7,0,59,35,0,42,30,0,23,16,0,8,4,0,4,6,0,6,6,2.09527397156
apache1,143,4,110,57,4,26,11,0,59,35,0,19,14,0,32,19,0,11,6,0,5,8,0,10,9,3.49407911301
apache1,384,7,110,57,7,26,11,0,59,35,0,30,22,0,21,14,0,11,6,0,10,10,0,5,6,4.38375306129
apache1,71,4,124,61,4,18,7,0,59,35,0,19,14,0,46,29,0,8,4,0,5,7,0,5,6,2.3446969986
apache1,411,4,109,57,4,17,7,0,59,35,0,29,22,0,21,13,0,8,4,0,3,7,0,6,6,1.99585580826
apache1,298,8,110,57,3,26,11,0,59,35,0,21,16,0,30,21,0,11,6,0,5,8,0,10,9,3.37215900421
apache1,422,4,120,61,4,18,7,0,59,35,0,40,26,0,21,13,0,8,4,0,4,7,0,6,6,2.30412721634
apache1,286,5,110,57,5,26,11,0,59,35,0,21,15,0,30,19,0,11,6,0,6,8,0,9,9,3.8394548893
apache1,418,6,110,57,4,26,11,0,59,35,0,28,21,0,23,17,0,11,6,0,12,10,0,3,6,3.48200416565
apache1,185,4,120,61,2,18,7,0,59,35,0,19,15,0,42,26,0,8,4,0,4,6,0,6,6,2.27398395538
apache1,77,5,100,53,5,17,7,0,59,35,0,22,14,0,19,12,0,8,4,0,6,7,0,3,6,1.84840321541
apache1,247,6,109,57,6,31,13,0,59,35,0,16,15,0,34,22,0,11,6,0,7,9,0,13,11,5.55314683914
apache1,234,9,120,61,9,32,13,0,59,35,0,32,23,0,29,21,0,11,6,0,9,10,0,12,11,5.25231218338
apache1,377,6,110,57,3,26,11,0,59,35,0,31,23,0,20,15,0,11,6,0,10,10,0,5,6,3.69850301743
apache1,206,4,120,61,4,18,7,0,59,35,0,21,19,0,40,28,0,8,4,0,6,6,0,4,6,1.97398996353
apache1,216,9,120,61,9,32,13,0,59,35,0,32,23,0,29,21,0,11,6,0,9,10,0,12,11,5.16512107849
apache1,423,4,109,57,4,17,7,0,59,35,0,29,22,0,21,13,0,8,4,0,3,7,0,6,6,1.88201117516
apache1,275,9,140,69,5,19,7,0,59,35,0,40,32,0,41,29,0,8,4,0,5,7,0,6,6,2.33821892738
apache1,207,5,140,69,5,19,7,0,59,35,0,39,30,0,42,29,0,8,4,0,6,7,0,5,6,2.13447117805
apache1,212,7,120,61,7,32,13,0,59,35,0,31,21,0,30,19,0,11,6,0,13,12,0,8,8,5.77079892159
apache1,305,5,97,53,5,25,11,0,59,35,0,22,15,0,16,15,0,11,6,0,6,8,0,8,9,2.94860291481
apache1,306,4,110,57,3,26,11,0,59,35,0,22,16,0,29,19,0,11,6,0,5,8,0,10,9,3.11295294762
apache1,287,6,110,57,3,26,11,0,59,35,0,21,15,0,30,20,0,11,6,0,7,8,0,8,8,3.8865468502
apache1,113,6,120,61,4,18,7,0,59,35,0,19,19,0,42,29,0,8,4,0,4,7,0,6,6,2.02049803734
apache1,214,7,120,61,5,32,13,0,59,35,0,33,23,0,28,18,0,11,6,0,12,12,0,9,9,5.29281210899
apache1,372,3,110,57,3,26,11,0,59,35,0,31,21,0,20,14,0,11,6,0,10,9,0,5,6,3.17440581322
apache1,246,6,120,61,4,32,13,0,59,35,0,27,19,0,34,23,0,11,6,0,9,9,0,12,11,5.42112588882
apache1,159,4,104,55,4,30,13,0,59,35,0,12,13,0,33,20,0,11,6,0,4,9,0,15,11,5.11177587509
apache1,371,6,124,61,2,18,7,0,59,35,0,44,31,0,21,15,0,8,4,0,4,6,0,6,6,1.95587110519
apache1,213,7,120,61,5,32,13,0,59,35,0,32,23,0,29,19,0,11,6,0,12,12,0,9,9,5.4705748558
apache1,342,6,120,61,6,32,13,0,59,35,0,28,19,0,33,21,0,11,6,0,8,9,0,13,11,5.26354789734
apache1,296,5,97,53,5,25,11,0,59,35,0,22,15,0,16,15,0,11,6,0,6,8,0,8,9,2.96568489075
apache1,233,6,120,61,4,32,13,0,59,35,0,32,23,0,29,19,0,11,6,0,11,11,0,10,9,5.71544289589
apache1,211,7,120,61,5,32,13,0,59,35,0,33,23,0,28,19,0,11,6,0,13,12,0,8,9,5.20420503616
apache1,376,5,110,57,3,26,11,0,59,35,0,32,21,0,19,13,0,11,6,0,12,9,0,3,6,3.64825987816
apache1,112,4,124,61,4,18,7,0,59,35,0,17,14,0,48,31,0,8,4,0,5,7,0,5,6,1.90077590942
apache1,209,7,144,69,5,19,7,0,59,35,0,41,31,0,44,32,0,8,4,0,6,7,0,5,6,2.01102781296
apache1,78,3,110,57,3,26,11,0,59,35,0,20,14,0,31,19,0,11,6,0,4,7,0,11,9,3.05552005768
apache1,50,4,107,57,4,31,13,0,59,35,0,32,21,0,16,15,0,11,6,0,14,12,0,6,9,5.80456781387
apache1,417,4,110,57,4,26,11,0,59,35,0,29,21,0,22,15,0,11,6,0,10,10,0,5,6,3.44660496712
apache1,70,4,110,57,3,26,11,0,59,35,0,20,15,0,31,20,0,11,6,0,6,8,0,9,9,3.24133992195
apache1,239,8,140,69,4,19,7,0,59,35,0,36,27,0,45,32,0,8,4,0,5,7,0,6,6,2.07503414154
apache1,158,4,109,57,4,31,13,0,59,35,0,17,15,0,33,20,0,11,6,0,5,9,0,15,11,5.26118397713
apache1,83,3,97,53,3,25,11,0,59,35,0,20,14,0,18,15,0,11,6,0,4,7,0,10,9,2.8539750576
apache1,117,4,110,57,4,26,11,0,59,35,0,17,13,0,34,20,0,11,6,0,3,8,0,12,9,2.98741388321
apache1,108,5,110,57,2,26,11,0,59,35,0,17,14,0,34,21,0,11,6,0,2,6,0,13,9,3.18840694427
apache1,84,3,92,51,3,24,11,0,59,35,0,20,14,0,13,13,0,11,6,0,4,7,0,9,9,2.79056596756
apache1,408,4,99,53,4,25,11,0,59,35,0,18,15,0,22,13,0,11,6,0,8,10,0,6,7,3.4248650074
apache1,383,5,110,57,5,26,11,0,59,35,0,30,21,0,21,14,0,11,6,0,12,10,0,3,6,4.34288311005
apache1,404,4,94,51,4,24,11,0,59,35,0,13,13,0,22,13,0,11,6,0,7,10,0,6,7,2.97519493103
apache1,250,8,140,69,4,19,7,0,59,35,0,36,27,0,45,32,0,8,4,0,5,7,0,6,6,2.12911510468
apache1,353,4,110,57,4,26,11,0,59,35,0,29,21,0,22,15,0,11,6,0,11,10,0,4,6,3.10154700279
apache1,85,3,100,53,3,17,7,0,59,35,0,22,14,0,19,12,0,8,4,0,6,6,0,3,5,1.85566902161
apache1,407,4,99,53,4,25,11,0,59,35,0,18,17,0,22,14,0,11,6,0,8,10,0,6,6,2.9143447876
apache1,337,8,120,61,6,32,13,0,59,35,0,27,20,0,34,23,0,11,6,0,8,9,0,13,11,4.78117895126
apache1,274,7,144,69,5,19,7,0,59,35,0,39,32,0,46,31,0,8,4,0,5,7,0,6,6,2.41431093216
apache1,217,7,120,61,5,32,13,0,59,35,0,32,23,0,29,19,0,11,6,0,12,12,0,9,9,5.29574298859
