# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --hazardsensitiveall --toposortinput --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,4,10,9,0,2,2,0,5,8,0,3,6,0.399629116058
apache1,185,4,120,61,0,59,35,0,19,15,0,42,26,2,9,7,0,3,3,0,2,6,0,4,6,0.40771484375
apache1,117,4,110,57,0,59,35,0,17,13,0,34,20,4,7,7,0,1,1,0,2,5,0,4,6,0.349328041077
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.404145956039
apache1,187,2,100,53,0,59,35,0,17,12,0,24,14,2,7,6,0,2,2,0,2,4,0,3,4,0.321457862854
apache1,179,8,124,61,0,59,35,0,21,21,0,44,30,3,7,7,0,1,1,0,1,5,0,5,6,0.363595962524
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.363152980804
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,3,12,8,0,3,3,0,6,7,0,3,6,0.475396871567
apache1,116,8,124,61,0,59,35,0,19,20,0,46,33,4,6,6,0,1,1,0,2,5,0,3,5,0.356098175049
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,3,7,7,0,1,1,0,3,6,0,3,6,0.373621940613
apache1,279,4,120,61,0,59,35,0,20,16,0,41,26,3,6,6,0,1,1,0,1,5,0,4,6,0.332369089127
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,6,6,0,1,1,0,3,5,0,2,5,0.317894935608
apache1,422,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.454316139221
apache1,147,6,120,61,0,59,35,0,20,16,0,41,27,4,7,7,0,2,2,0,2,6,0,3,6,0.354749917984
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,5,9,8,0,1,1,0,5,6,0,3,7,0.454279899597
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.287818908691
apache1,188,3,100,53,0,59,35,0,22,14,0,19,12,3,7,6,0,2,2,0,3,5,0,2,5,0.351088047028
apache1,108,5,110,57,0,59,35,0,17,14,0,34,21,4,11,10,0,3,3,0,2,7,0,6,8,0.446177005768
apache1,307,8,110,57,0,59,35,0,22,17,0,29,20,7,13,11,0,3,3,0,5,9,0,5,8,0.506726026535
apache1,420,4,110,57,0,59,35,0,29,19,0,22,13,4,9,7,0,3,3,0,3,6,0,3,6,0.384257793427
apache1,244,6,120,61,0,59,35,0,26,18,0,35,21,2,6,6,0,1,1,0,2,4,0,3,4,0.317059993744
apache1,306,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.337044000626
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,5,9,7,0,2,2,0,2,6,0,5,6,0.413530111313
apache1,354,6,141,69,0,59,35,0,38,28,0,44,31,2,6,6,0,1,1,0,3,6,0,2,4,0.349986791611
apache1,233,6,120,61,0,59,35,0,32,23,0,29,19,3,12,10,0,3,4,0,2,7,0,7,8,0.466531991959
apache1,247,6,109,57,0,59,35,0,16,15,0,34,22,5,7,7,0,1,1,0,2,5,0,4,7,0.337317943573
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,6,9,8,0,1,1,0,4,6,0,4,7,0.41045498848
apache1,141,6,110,57,0,59,35,0,19,15,0,32,20,6,10,9,0,2,2,0,3,7,0,5,7,0.40261888504
apache1,351,6,110,57,0,59,35,0,27,21,0,24,15,6,11,9,0,3,3,0,4,8,0,4,6,0.449851989746
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,9,7,0,2,2,0,3,6,0,4,6,0.38730096817
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,10,10,0,3,3,0,3,8,0,4,7,0.418199062347
apache1,362,3,120,61,0,59,35,0,42,28,0,19,14,3,9,6,0,2,2,0,4,6,0,3,6,0.410106897354
apache1,358,9,137,69,0,59,35,0,39,29,0,39,29,5,10,7,0,2,2,0,5,6,0,3,6,0.522017002106
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,13,12,0,3,4,0,5,10,0,5,8,0.491473913193
apache1,144,4,110,57,0,59,35,0,20,15,0,31,19,4,9,7,0,3,3,0,3,7,0,3,6,0.405591964722
apache1,339,8,120,61,0,59,35,0,28,20,0,33,21,6,9,8,0,1,1,0,4,6,0,4,7,0.400682926178
apache1,203,5,110,57,0,59,35,0,22,16,0,29,19,4,10,9,0,2,2,0,3,6,0,5,8,0.432018995285
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,9,7,0,2,2,0,3,6,0,4,6,0.444333076477
apache1,17,4,120,61,0,59,35,0,27,19,0,34,22,4,8,6,0,1,1,0,4,6,0,3,5,0.373821973801
apache1,47,8,124,65,0,59,35,0,41,30,0,24,22,4,8,8,0,2,2,0,3,6,0,3,7,0.381665945053
apache1,246,6,120,61,0,59,35,0,27,19,0,34,23,6,10,9,0,2,2,0,4,7,0,4,8,0.446208953857
apache1,378,3,110,57,0,59,35,0,30,20,0,21,14,3,8,6,0,2,2,0,3,5,0,3,6,0.369843006134
apache1,408,4,99,53,0,59,35,0,18,15,0,22,13,3,6,6,0,2,2,0,1,4,0,3,5,0.332046985626
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,4,7,7,0,1,1,0,4,6,0,2,5,0.36541891098
apache1,412,4,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,2,2,0,2,4,0,4,6,0.375761985779
apache1,110,4,110,57,0,59,35,0,17,13,0,34,21,4,7,7,0,2,2,0,2,6,0,3,6,0.335875034332
apache1,341,6,120,61,0,59,35,0,27,19,0,34,22,4,7,6,0,1,1,0,4,6,0,2,5,0.361507892609
apache1,281,4,124,61,0,59,35,0,20,15,0,45,29,3,8,6,0,2,2,0,2,5,0,4,6,0.404178857803
apache1,404,4,94,51,0,59,35,0,13,13,0,22,13,3,7,8,0,2,2,0,1,6,0,4,5,0.353062868118
apache1,367,3,124,61,0,59,35,0,46,31,0,19,14,3,9,6,0,2,2,0,4,6,0,3,6,0.419348955154
apache1,109,4,110,57,0,59,35,0,17,13,0,34,21,4,7,7,0,1,1,0,3,6,0,3,6,0.336452960968
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,2,2,0,2,6,0,4,7,0.37463593483
apache1,295,6,110,57,0,59,35,0,22,16,0,29,20,5,12,10,0,3,3,0,5,8,0,4,8,0.441790819168
apache1,415,4,124,61,0,59,35,0,44,29,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.45409488678
apache1,250,8,140,69,0,59,35,0,36,27,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.384804964066
apache1,207,5,140,69,0,59,35,0,39,30,0,42,29,4,7,6,0,1,1,0,3,5,0,3,6,0.389451026917
apache1,83,3,97,53,0,59,35,0,20,14,0,18,15,2,5,5,0,1,1,0,2,4,0,2,5,0.279595136642
apache1,342,6,120,61,0,59,35,0,28,19,0,33,21,4,7,6,0,1,1,0,4,6,0,2,5,0.351505041122
apache1,158,4,109,57,0,59,35,0,17,15,0,33,20,3,6,6,0,1,1,0,1,4,0,4,5,0.302159070969
apache1,270,9,120,61,0,59,35,0,31,23,0,30,21,3,7,7,0,2,2,0,3,7,0,2,6,0.339318037033
apache1,160,3,110,57,0,59,35,0,17,14,0,34,20,2,9,7,0,3,3,0,1,4,0,5,6,0.391576051712
apache1,241,8,144,69,0,59,35,0,40,30,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.386636018753
apache1,267,9,120,61,0,59,35,0,33,23,0,28,20,6,8,7,0,1,1,0,4,6,0,3,6,0.380576848984
apache1,417,4,110,57,0,59,35,0,29,21,0,22,15,4,10,9,0,3,3,0,4,8,0,3,6,0.447084903717
apache1,76,5,92,51,0,59,35,0,20,16,0,13,13,5,10,11,0,4,5,0,4,8,0,2,7,0.41766500473
apache1,421,6,120,61,0,59,35,0,39,28,0,22,17,4,8,7,0,2,2,0,3,7,0,3,6,0.388193130493
apache1,290,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.332456111908
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,4,8,6,0,1,1,0,4,5,0,3,6,0.376602888107
apache1,287,6,110,57,0,59,35,0,21,15,0,30,20,4,8,7,0,1,1,0,4,5,0,3,6,0.386011838913
apache1,418,6,110,57,0,59,35,0,28,21,0,23,17,4,7,7,0,2,2,0,3,7,0,2,6,0.357899904251
apache1,344,6,109,57,0,59,35,0,16,15,0,34,21,5,10,11,0,2,3,0,3,7,0,5,9,0.43276309967
apache1,77,5,100,53,0,59,35,0,22,14,0,19,12,5,10,8,0,3,3,0,4,7,0,3,6,0.519130945206
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,7,11,9,0,3,3,0,4,8,0,4,7,0.457862138748
apache1,296,5,97,53,0,59,35,0,22,15,0,16,15,5,10,10,0,3,3,0,4,7,0,3,8,0.424175977707
apache1,350,4,124,61,0,59,35,0,42,30,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.395483970642
apache1,155,4,110,57,0,59,35,0,17,14,0,34,20,4,8,6,0,2,2,0,2,6,0,4,5,0.371359825134
apache1,338,8,120,61,0,59,35,0,27,20,0,34,23,8,12,11,0,2,3,0,6,9,0,4,8,0.478813886642
apache1,216,9,120,61,0,59,35,0,32,23,0,29,21,6,10,8,0,1,1,0,5,7,0,4,6,0.395421028137
apache1,352,4,110,57,0,59,35,0,27,20,0,24,15,4,7,6,0,1,1,0,3,6,0,3,5,0.345407009125
apache1,366,6,120,61,0,59,35,0,40,28,0,21,15,4,10,7,0,2,2,0,3,7,0,5,6,0.459206104279
apache1,304,6,110,57,0,59,35,0,22,16,0,29,20,5,12,10,0,3,3,0,5,8,0,4,8,0.5211789608
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,4,6,6,0,1,1,0,3,5,0,2,5,0.34101319313
apache1,214,7,120,61,0,59,35,0,33,23,0,28,18,7,15,12,0,4,5,0,5,11,0,6,8,0.548231124878
apache1,294,6,110,57,0,59,35,0,22,16,0,29,20,5,10,9,0,3,3,0,4,7,0,3,8,0.42377114296
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,11,7,0,3,3,0,4,7,0,4,6,0.464366912842
apache1,209,7,144,69,0,59,35,0,41,31,0,44,32,4,7,6,0,1,1,0,3,5,0,3,6,0.397784948349
apache1,85,3,100,53,0,59,35,0,22,14,0,19,12,2,7,6,0,2,2,0,3,4,0,2,4,0.339628219604
apache1,16,5,120,61,0,59,35,0,32,20,0,29,20,3,9,7,0,2,2,0,5,7,0,2,5,0.393863916397
apache1,148,5,120,61,0,59,35,0,20,19,0,41,28,5,10,7,0,2,2,0,4,7,0,4,6,0.450562000275
apache1,182,4,120,61,0,59,35,0,17,18,0,44,28,4,10,8,0,3,3,0,2,7,0,5,6,0.436144113541
apache1,363,4,120,61,0,59,35,0,42,28,0,19,15,4,8,7,0,1,1,0,4,7,0,3,6,0.401696920395
apache1,288,6,110,57,0,59,35,0,21,16,0,30,20,2,7,6,0,1,1,0,3,5,0,3,6,0.327973127365
apache1,51,4,102,55,0,59,35,0,32,21,0,11,13,2,8,10,0,2,3,0,4,8,0,2,7,0.362346887589
apache1,156,4,110,57,0,59,35,0,20,15,0,31,20,3,9,7,0,3,3,0,4,7,0,2,6,0.41811299324
apache1,383,5,110,57,0,59,35,0,30,21,0,21,14,4,6,6,0,1,1,0,3,5,0,2,5,0.308283805847
apache1,309,6,120,61,0,59,35,0,21,16,0,40,26,4,7,7,0,2,2,0,2,7,0,3,6,0.361577987671
apache1,419,4,110,57,0,59,35,0,30,22,0,21,16,4,11,10,0,3,3,0,5,9,0,3,7,0.423836946487
apache1,252,8,144,69,0,59,35,0,40,30,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.388314008713
apache1,297,7,110,57,0,59,35,0,21,16,0,30,20,6,10,9,0,2,2,0,3,6,0,5,8,0.412252187729
apache1,50,4,107,57,0,59,35,0,32,21,0,16,15,2,6,6,0,1,1,0,3,5,0,2,5,0.303520917892
apache1,75,5,97,53,0,59,35,0,20,16,0,18,15,3,6,6,0,2,2,0,3,5,0,1,4,0.299165010452
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,2,7,6,0,1,1,0,3,5,0,3,6,0.340564012527
apache1,114,6,120,61,0,59,35,0,19,19,0,42,29,4,7,7,0,1,1,0,3,6,0,3,6,0.373630046844
apache1,217,7,120,61,0,59,35,0,32,23,0,29,19,5,9,7,0,2,2,0,3,7,0,4,6,0.41289305687
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,3,7,6,0,2,2,0,1,4,0,4,5,0.358774900436
apache1,234,9,120,61,0,59,35,0,32,23,0,29,21,6,9,7,0,1,1,0,4,6,0,4,6,0.397943019867
apache1,423,4,109,57,0,59,35,0,29,22,0,21,13,3,7,6,0,2,2,0,1,4,0,4,5,0.360785007477
apache1,403,6,141,69,0,59,35,0,37,26,0,45,32,4,7,7,0,2,2,0,2,7,0,3,6,0.376836061478
apache1,364,8,120,61,0,59,35,0,41,28,0,20,15,4,11,7,0,3,3,0,4,7,0,4,6,0.458476066589
apache1,424,4,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,2,2,0,2,4,0,4,6,0.381199121475
apache1,159,4,104,55,0,59,35,0,12,13,0,33,20,3,8,10,0,2,3,0,1,6,0,5,8,0.357194900513
apache1,212,7,120,61,0,59,35,0,31,21,0,30,19,2,6,6,0,1,1,0,3,4,0,2,4,0.316941976547
apache1,393,6,110,57,0,59,35,0,22,16,0,29,20,5,12,10,0,3,3,0,5,8,0,4,8,0.442793130875
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,6,6,0,1,1,0,2,5,0,3,6,0.33748793602
apache1,269,7,120,61,0,59,35,0,32,22,0,29,19,4,7,6,0,1,1,0,2,5,0,4,6,0.331846952438
apache1,272,9,120,61,0,59,35,0,33,24,0,28,19,7,13,12,0,3,4,0,4,10,0,6,9,0.493548154831
apache1,52,3,120,61,0,59,35,0,30,19,0,31,20,2,8,6,0,1,1,0,5,5,0,2,4,0.362908840179
apache1,274,7,144,69,0,59,35,0,39,32,0,46,31,5,8,7,0,2,2,0,3,7,0,3,6,0.400984048843
apache1,71,4,124,61,0,59,35,0,19,14,0,46,29,4,9,7,0,3,3,0,3,7,0,3,6,0.405921936035
apache1,349,4,120,61,0,59,35,0,38,27,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.354477882385
apache1,70,4,110,57,0,59,35,0,20,15,0,31,20,3,10,7,0,3,3,0,4,7,0,3,6,0.425201892853
apache1,371,6,124,61,0,59,35,0,44,31,0,21,15,4,10,7,0,2,2,0,3,7,0,5,6,0.461889982224
apache1,301,8,110,57,0,59,35,0,22,17,0,29,20,7,13,11,0,3,3,0,5,9,0,5,8,0.510875225067
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,3,6,6,0,1,1,0,4,6,0,1,5,0.364068031311
apache1,343,7,120,61,0,59,35,0,26,20,0,35,23,4,7,7,0,2,2,0,2,7,0,3,6,0.361166954041
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,7,11,10,0,3,3,0,4,8,0,4,8,0.461097002029
apache1,286,5,110,57,0,59,35,0,21,15,0,30,19,4,7,6,0,1,1,0,3,5,0,3,5,0.360809087753
apache1,72,8,120,61,0,59,35,0,21,20,0,40,27,6,11,8,0,3,3,0,3,8,0,5,6,0.452267885208
apache1,391,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.367328166962
apache1,402,7,141,69,0,59,35,0,39,27,0,43,31,5,10,7,0,2,2,0,5,6,0,3,6,0.462322950363
apache1,291,7,110,57,0,59,35,0,22,16,0,29,19,7,11,10,0,3,3,0,4,8,0,4,8,0.435047864914
apache1,379,5,110,57,0,59,35,0,31,22,0,20,14,5,7,6,0,1,1,0,3,6,0,3,6,0.358450889587
apache1,248,6,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,0.393257856369
apache1,265,9,120,61,0,59,35,0,33,24,0,28,20,8,13,12,0,2,3,0,5,9,0,6,9,0.494801044464
apache1,143,4,110,57,0,59,35,0,19,14,0,32,19,4,7,6,0,1,1,0,3,6,0,3,5,0.359051942825
apache1,112,4,124,61,0,59,35,0,17,14,0,48,31,4,8,6,0,2,2,0,3,6,0,3,5,0.37257194519
apache1,413,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.434407949448
apache1,235,6,120,61,0,59,35,0,27,19,0,34,23,4,9,9,0,2,3,0,5,8,0,2,5,0.386115074158
apache1,416,4,110,57,0,59,35,0,29,20,0,22,15,4,8,7,0,2,2,0,3,6,0,3,6,0.378643989563
apache1,305,5,97,53,0,59,35,0,22,15,0,16,15,5,10,10,0,3,3,0,4,7,0,3,8,0.426689863205
apache1,186,4,100,53,0,59,35,0,17,12,0,24,14,4,10,8,0,3,3,0,3,7,0,4,6,0.444087982178
apache1,205,3,124,61,0,59,35,0,21,15,0,44,29,2,7,7,0,1,1,0,4,5,0,2,5,0.348171949387
apache1,236,6,120,61,0,59,35,0,28,20,0,33,22,6,8,6,0,1,1,0,4,6,0,3,5,0.373879909515
apache1,337,8,120,61,0,59,35,0,27,20,0,34,23,8,12,11,0,2,3,0,6,9,0,4,8,0.483602046967
apache1,206,4,120,61,0,59,35,0,21,19,0,40,28,2,7,7,0,1,1,0,4,5,0,2,5,0.331481933594
apache1,400,6,137,69,0,59,35,0,36,26,0,42,28,4,7,7,0,2,2,0,2,7,0,3,6,0.367201805115
apache1,347,8,144,69,0,59,35,0,41,31,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.379358053207
apache1,277,4,120,61,0,59,35,0,20,15,0,41,26,3,8,6,0,2,2,0,2,5,0,4,6,0.388762950897
apache1,380,4,110,57,0,59,35,0,32,22,0,19,14,3,11,10,0,3,3,0,6,9,0,2,6,0.4401679039
apache1,140,4,120,61,0,59,35,0,29,19,0,32,20,4,8,7,0,2,2,0,3,6,0,3,6,0.378300905228
apache1,145,5,124,61,0,59,35,0,20,20,0,45,32,5,8,7,0,2,2,0,2,6,0,4,7,0.374711036682
apache1,335,8,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.379523992538
apache1,401,5,141,69,0,59,35,0,38,25,0,44,29,5,10,7,0,2,2,0,5,6,0,3,6,0.469188213348
apache1,357,6,137,69,0,59,35,0,38,28,0,40,28,2,6,6,0,1,1,0,3,6,0,2,4,0.372573852539
apache1,243,6,120,61,0,59,35,0,26,19,0,35,23,6,12,11,0,2,3,0,6,9,0,4,8,0.452820062637
apache1,389,6,124,61,0,59,35,0,22,16,0,43,29,4,9,7,0,3,3,0,3,7,0,3,6,0.390074968338
apache1,271,6,107,57,0,59,35,0,33,22,0,15,14,4,10,11,0,2,3,0,4,9,0,4,7,0.427603960037
apache1,390,7,110,57,0,59,35,0,21,16,0,30,19,4,7,6,0,1,1,0,2,5,0,4,6,0.344266891479
apache1,377,6,110,57,0,59,35,0,31,23,0,20,15,5,10,8,0,2,2,0,5,8,0,3,6,0.404714107513
apache1,374,5,110,57,0,59,35,0,31,23,0,20,14,5,11,9,0,3,3,0,4,8,0,4,7,0.452841997147
apache1,382,4,110,57,0,59,35,0,33,23,0,18,14,3,7,7,0,2,2,0,4,7,0,1,3,0.34290599823
apache1,211,7,120,61,0,59,35,0,33,23,0,28,19,6,12,11,0,2,3,0,4,8,0,6,9,0.469065189362
apache1,414,4,124,61,0,59,35,0,42,30,0,23,16,2,8,7,0,2,2,0,2,4,0,4,6,0.457093954086
apache1,106,4,100,53,0,59,35,0,17,12,0,24,14,4,7,6,0,2,2,0,2,5,0,3,5,0.333405017853
apache1,249,6,120,61,0,59,35,0,28,20,0,33,23,4,9,7,0,2,2,0,4,7,0,3,6,0.40302491188
apache1,255,8,140,69,0,59,35,0,36,27,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.378843069077
apache1,275,9,140,69,0,59,35,0,40,32,0,41,29,5,8,7,0,2,2,0,3,7,0,3,6,0.409739017487
apache1,336,4,120,61,0,59,35,0,38,27,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.378650903702
apache1,332,9,144,69,0,59,35,0,40,30,0,45,30,3,7,7,0,1,1,0,4,6,0,2,6,0.376775026321
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,4,9,7,0,1,1,0,4,7,0,4,7,0.398500919342
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,5,9,8,0,1,1,0,3,7,0,5,6,0.403239011765
apache1,115,8,120,61,0,59,35,0,19,20,0,42,30,4,6,6,0,1,1,0,2,5,0,3,5,0.343913078308
apache1,113,6,120,61,0,59,35,0,19,19,0,42,29,4,7,7,0,2,2,0,2,6,0,3,6,0.433699846268
apache1,81,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.300785064697
apache1,84,3,92,51,0,59,35,0,20,14,0,13,13,2,5,7,0,1,1,0,2,4,0,2,7,0.306266069412
apache1,220,11,141,69,0,59,35,0,38,28,0,44,34,4,10,7,0,2,2,0,5,6,0,3,5,0.432973146439
apache1,375,5,110,57,0,59,35,0,33,23,0,18,14,4,7,6,0,1,1,0,4,5,0,2,6,0.328434944153
apache1,218,8,141,69,0,59,35,0,40,30,0,42,30,3,7,7,0,1,1,0,3,6,0,3,6,0.356770992279
apache1,111,8,124,61,0,59,35,0,19,20,0,46,34,4,7,7,0,2,2,0,2,6,0,3,6,0.341631889343
apache1,346,6,120,61,0,59,35,0,27,19,0,34,22,6,13,13,0,3,4,0,5,9,0,5,10,0.53449010849
apache1,293,6,110,57,0,59,35,0,22,16,0,29,20,5,10,9,0,3,3,0,4,7,0,3,8,0.424530982971
apache1,239,8,140,69,0,59,35,0,36,27,0,45,32,4,7,6,0,1,1,0,3,6,0,3,5,0.369010925293
apache1,172,5,144,69,0,59,35,0,42,33,0,43,31,3,7,7,0,1,1,0,3,6,0,3,6,0.37154006958
apache1,213,7,120,61,0,59,35,0,32,23,0,29,19,4,12,10,0,3,4,0,3,8,0,6,8,0.487322092056
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,10,6,0,3,3,0,3,6,0,4,6,0.447707891464
apache1,381,6,110,57,0,59,35,0,31,23,0,20,15,5,12,10,0,4,4,0,5,9,0,3,7,0.498955965042
apache1,365,6,120,61,0,59,35,0,42,29,0,19,15,4,11,7,0,3,3,0,4,7,0,4,6,0.458296060562
apache1,292,7,110,57,0,59,35,0,22,16,0,29,19,7,11,10,0,3,3,0,4,8,0,4,8,0.442645072937
apache1,280,6,120,61,0,59,35,0,21,16,0,40,26,4,7,7,0,2,2,0,2,7,0,3,6,0.342334985733
apache1,176,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.319439172745
apache1,78,3,110,57,0,59,35,0,20,14,0,31,19,2,8,6,0,2,2,0,2,4,0,4,6,0.374269008636
apache1,215,6,107,57,0,59,35,0,33,22,0,15,14,4,7,7,0,1,1,0,3,7,0,3,5,0.325436830521
apache1,142,5,110,57,0,59,35,0,19,15,0,32,20,4,11,10,0,3,3,0,2,7,0,6,8,0.438621044159
apache1,245,6,120,61,0,59,35,0,28,19,0,33,22,4,9,9,0,2,3,0,5,8,0,2,5,0.402774810791
apache1,409,4,113,57,0,59,35,0,33,25,0,21,13,3,7,6,0,2,2,0,1,4,0,4,5,0.354103088379
apache1,331,4,120,61,0,59,35,0,38,27,0,23,16,2,8,6,0,2,2,0,2,4,0,4,5,0.369066953659
