# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --hazardsensitivewar --toposortinput --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,4,9,9,0,1,1,0,5,8,0,3,6,0.382441043854
apache1,185,4,120,61,0,59,35,0,19,15,0,42,26,2,6,6,0,1,1,0,1,5,0,4,6,0.332334041595
apache1,117,4,110,57,0,59,35,0,17,13,0,34,20,4,7,7,0,1,1,0,2,5,0,4,6,0.348771095276
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,9,7,0,3,3,0,3,6,0,3,6,0.359457969666
apache1,187,2,100,53,0,59,35,0,17,12,0,24,14,2,6,6,0,1,1,0,2,4,0,3,4,0.291160821915
apache1,179,8,124,61,0,59,35,0,21,21,0,44,30,3,7,7,0,1,1,0,1,5,0,5,6,0.353023052216
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.347414970398
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,2,9,7,0,1,1,0,5,5,0,3,6,0.373615980148
apache1,116,8,124,61,0,59,35,0,19,20,0,46,33,4,7,7,0,1,1,0,2,5,0,4,6,0.339723110199
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,3,7,7,0,1,1,0,3,6,0,3,6,0.353878974915
apache1,279,4,120,61,0,59,35,0,20,16,0,41,26,3,7,7,0,1,1,0,2,6,0,4,6,0.336019039154
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,5,7,7,0,1,1,0,4,7,0,2,5,0.33366894722
apache1,422,4,120,61,0,59,35,0,40,26,0,21,13,4,9,7,0,3,3,0,3,6,0,3,6,0.395849943161
apache1,147,6,120,61,0,59,35,0,20,16,0,41,27,4,7,7,0,2,2,0,2,6,0,3,6,0.3566198349
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,3,7,7,0,1,1,0,4,6,0,2,6,0.365601062775
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.282804012299
apache1,188,3,100,53,0,59,35,0,22,14,0,19,12,3,6,6,0,1,1,0,3,5,0,2,5,0.286495923996
apache1,108,5,110,57,0,59,35,0,17,14,0,34,21,4,10,10,0,2,2,0,2,7,0,6,8,0.395248889923
apache1,307,8,110,57,0,59,35,0,22,17,0,29,20,5,10,10,0,2,2,0,4,8,0,4,8,0.397690057755
apache1,420,4,110,57,0,59,35,0,29,19,0,22,13,4,9,7,0,3,3,0,3,6,0,3,6,0.402032136917
apache1,244,6,120,61,0,59,35,0,26,18,0,35,21,2,6,6,0,1,1,0,2,4,0,3,4,0.337221860886
apache1,306,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.343706130981
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,5,7,7,0,1,1,0,2,6,0,4,6,0.368694067001
apache1,354,6,141,69,0,59,35,0,38,28,0,44,31,2,6,6,0,1,1,0,3,6,0,2,4,0.364033937454
apache1,233,6,120,61,0,59,35,0,32,23,0,29,19,3,9,9,0,1,1,0,2,7,0,6,8,0.390111923218
apache1,247,6,109,57,0,59,35,0,16,15,0,34,22,5,7,7,0,1,1,0,2,5,0,4,7,0.325571060181
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,4,7,7,0,1,1,0,2,5,0,4,6,0.353750228882
apache1,141,6,110,57,0,59,35,0,19,15,0,32,20,6,9,9,0,1,1,0,3,7,0,5,7,0.391347169876
apache1,351,6,110,57,0,59,35,0,27,21,0,24,15,4,7,7,0,1,1,0,3,7,0,3,5,0.3507168293
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,9,7,0,2,2,0,3,6,0,4,6,0.370150089264
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,7,9,0,1,1,0,2,7,0,4,7,0.356309175491
apache1,362,3,120,61,0,59,35,0,42,28,0,19,14,2,6,6,0,1,1,0,2,4,0,3,6,0.312159061432
apache1,358,9,137,69,0,59,35,0,39,29,0,39,29,5,10,8,0,1,1,0,5,6,0,4,7,0.448409795761
apache1,273,7,120,61,0,59,35,0,33,22,0,28,18,7,11,11,0,2,2,0,5,10,0,4,8,0.425695180893
apache1,144,4,110,57,0,59,35,0,20,15,0,31,19,4,7,7,0,2,2,0,3,7,0,2,6,0.345946073532
apache1,339,8,120,61,0,59,35,0,28,20,0,33,21,4,6,6,0,1,1,0,2,5,0,3,5,0.329847097397
apache1,203,5,110,57,0,59,35,0,22,16,0,29,19,4,9,9,0,1,1,0,3,6,0,5,8,0.383818149567
apache1,283,4,124,61,0,59,35,0,21,16,0,44,29,3,7,7,0,1,1,0,3,6,0,3,6,0.376283168793
apache1,17,4,120,61,0,59,35,0,27,19,0,34,22,4,8,6,0,1,1,0,4,6,0,3,5,0.369266033173
apache1,47,8,124,65,0,59,35,0,41,30,0,24,22,4,7,8,0,1,1,0,3,6,0,3,7,0.371797084808
apache1,246,6,120,61,0,59,35,0,27,19,0,34,23,6,10,9,0,2,2,0,4,7,0,4,8,0.398095846176
apache1,378,3,110,57,0,59,35,0,30,20,0,21,14,3,6,6,0,1,1,0,2,5,0,3,6,0.299909114838
apache1,408,4,99,53,0,59,35,0,18,15,0,22,13,3,6,6,0,2,2,0,1,4,0,3,5,0.328086853027
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,4,7,7,0,1,1,0,4,6,0,2,5,0.350990056992
apache1,412,4,120,61,0,59,35,0,38,27,0,23,16,2,7,7,0,2,2,0,1,3,0,4,6,0.328092098236
apache1,110,4,110,57,0,59,35,0,17,13,0,34,21,4,7,7,0,2,2,0,2,6,0,3,6,0.351763963699
apache1,341,6,120,61,0,59,35,0,27,19,0,34,22,4,6,6,0,1,1,0,3,6,0,2,5,0.31055688858
apache1,281,4,124,61,0,59,35,0,20,15,0,45,29,3,6,6,0,1,1,0,2,5,0,3,6,0.336854219437
apache1,404,4,94,51,0,59,35,0,13,13,0,22,13,3,6,8,0,2,2,0,1,6,0,3,5,0.308854103088
