# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --hazardsensitivewaw --toposortinput --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,2,9,8,0,2,2,0,5,8,0,2,4,0.384755134583
apache1,185,4,120,61,0,59,35,0,19,15,0,42,26,2,6,6,0,1,1,0,1,5,0,4,6,0.328167915344
apache1,117,4,110,57,0,59,35,0,17,13,0,34,20,4,6,6,0,1,1,0,2,5,0,3,5,0.313899993896
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.452229976654
apache1,187,2,100,53,0,59,35,0,17,12,0,24,14,2,7,6,0,2,2,0,2,4,0,3,4,0.327095985413
apache1,179,8,124,61,0,59,35,0,21,21,0,44,30,1,6,6,0,1,1,-1,0,0,0,5,6,0.337756872177
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,0.347033023834
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,2,9,6,0,2,2,0,5,5,0,2,4,0.382449150085
apache1,116,8,124,61,0,59,35,0,19,20,0,46,33,4,6,6,0,1,1,0,2,5,0,3,5,0.322489976883
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,3,6,6,0,1,1,0,2,5,0,3,6,0.345592975616
apache1,279,4,120,61,0,59,35,0,20,16,0,41,26,3,8,6,0,2,2,0,1,5,0,5,6,0.400609016418
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,6,6,0,1,1,0,3,5,0,2,5,0.304988861084
apache1,422,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,0.406883955002
apache1,147,6,120,61,0,59,35,0,20,16,0,41,27,4,7,7,0,2,2,0,2,6,0,3,6,0.355010032654
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,5,9,6,0,2,2,0,5,6,0,2,5,0.423285961151
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,0.283676862717
apache1,188,3,100,53,0,59,35,0,22,14,0,19,12,3,7,6,0,2,2,0,3,5,0,2,5,0.365515947342
apache1,108,5,110,57,0,59,35,0,17,14,0,34,21,2,10,9,0,3,3,0,1,3,0,6,8,0.377924919128
apache1,307,8,110,57,0,59,35,0,22,17,0,29,20,3,11,9,0,3,3,0,3,7,0,5,8,0.41522693634
apache1,420,4,110,57,0,59,35,0,29,19,0,22,13,4,9,7,0,3,3,0,3,6,0,3,6,0.370553970337
apache1,244,6,120,61,0,59,35,0,26,18,0,35,21,2,6,6,0,1,1,0,2,4,0,3,4,0.322255134583
apache1,306,4,110,57,0,59,35,0,22,16,0,29,19,3,7,7,0,2,2,0,3,7,0,2,6,0.322327136993
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,3,6,6,0,1,1,0,1,5,0,4,6,0.302660942078
apache1,354,6,141,69,0,59,35,0,38,28,0,44,31,2,6,6,0,1,1,0,3,6,0,2,4,0.347402095795
apache1,233,6,120,61,0,59,35,0,32,23,0,29,19,3,8,8,0,1,1,0,1,4,0,6,8,0.357914924622
apache1,247,6,109,57,0,59,35,0,16,15,0,34,22,5,8,8,0,1,1,0,3,7,0,4,5,0.353286981583
apache1,340,8,120,61,0,59,35,0,28,20,0,33,21,8,12,9,0,2,2,0,5,8,0,5,7,0.456598043442
