# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive --toposortinput
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,336,4,120,61,0,59,35,0,38,27,0,23,16,2,9,7,0,3,3,0,1,4,0,5,6,0.454461097717
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,5,9,7,0,3,3,0,4,7,0,2,6,0.448218107224
apache1,156,4,110,57,0,59,35,0,20,15,0,31,20,3,9,7,0,3,3,0,4,7,0,2,6,0.440687894821
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,4,16,11,0,6,6,0,7,10,0,3,6,0.652642011642
apache1,81,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.460656881332
apache1,243,6,120,61,0,59,35,0,26,19,0,35,23,4,16,11,0,6,6,0,5,9,0,5,9,0.642006874084
apache1,266,8,120,61,0,59,35,0,29,22,0,32,21,4,9,7,0,3,3,0,3,7,0,3,6,0.448056936264
apache1,211,7,120,61,0,59,35,0,33,23,0,28,19,5,16,11,0,6,6,0,5,10,0,5,8,0.685478925705
apache1,176,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.458298921585
apache1,292,7,110,57,0,59,35,0,22,16,0,29,19,5,9,7,0,3,3,0,3,7,0,3,6,0.418970108032
apache1,264,8,120,61,0,59,35,0,32,23,0,29,20,6,16,11,0,6,6,0,4,10,0,6,8,0.733068943024
apache1,381,6,110,57,0,59,35,0,31,23,0,20,15,3,8,7,0,3,3,0,3,7,0,2,6,0.374490022659
apache1,245,6,120,61,0,59,35,0,28,19,0,33,22,4,16,11,0,6,6,0,5,9,0,5,9,0.663522005081
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,5,9,7,0,3,3,0,4,7,0,2,6,0.427704811096
apache1,175,6,107,57,0,59,35,0,19,17,0,29,23,2,9,7,0,4,4,0,2,6,0,3,6,0.426342964172
apache1,417,4,110,57,0,59,35,0,29,21,0,22,15,4,15,11,0,6,6,0,6,10,0,3,6,0.673816919327
apache1,241,8,144,69,0,59,35,0,40,30,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.46254491806
apache1,77,5,100,53,0,59,35,0,22,14,0,19,12,3,8,7,0,3,3,0,3,6,0,2,6,0.391402006149
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,5,9,7,0,3,3,0,3,7,0,3,6,0.417582035065
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,9,7,0,3,3,0,3,6,0,3,7,0.42188501358
apache1,294,6,110,57,0,59,35,0,22,16,0,29,20,5,9,7,0,3,3,0,4,7,0,2,6,0.405461072922
apache1,296,5,97,53,0,59,35,0,22,15,0,16,15,5,14,11,0,6,6,0,3,8,0,5,9,0.592180013657
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,16,11,0,6,6,0,8,10,0,2,6,0.708339929581
apache1,339,8,120,61,0,59,35,0,28,20,0,33,21,4,9,7,0,3,3,0,2,7,0,4,6,0.420996904373
apache1,348,8,140,69,0,59,35,0,37,30,0,44,28,4,8,7,0,3,3,0,2,7,0,3,6,0.433748006821
apache1,247,6,109,57,0,59,35,0,16,15,0,34,22,4,10,7,0,4,4,0,3,7,0,3,6,0.512500047684
apache1,148,5,120,61,0,59,35,0,20,19,0,41,28,3,9,7,0,3,3,0,3,6,0,3,6,0.435304880142
apache1,401,5,141,69,0,59,35,0,38,25,0,44,29,5,9,7,0,3,3,0,4,7,0,2,6,0.461130142212
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,11,7,0,4,4,0,3,7,0,4,6,0.55571603775
apache1,403,6,141,69,0,59,35,0,37,26,0,45,32,4,8,7,0,3,3,0,2,7,0,3,6,0.392704963684
apache1,117,4,110,57,0,59,35,0,17,13,0,34,20,4,9,7,0,3,3,0,2,7,0,4,6,0.413656949997
apache1,358,9,137,69,0,59,35,0,39,29,0,39,29,5,12,7,0,4,4,0,5,7,0,3,6,0.530553102493
apache1,375,5,110,57,0,59,35,0,33,23,0,18,14,5,9,7,0,3,3,0,4,7,0,2,6,0.411659955978
apache1,377,6,110,57,0,59,35,0,31,23,0,20,15,3,8,7,0,3,3,0,3,7,0,2,6,0.401695013046
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,8,7,0,3,3,0,2,7,0,3,6,0.416776180267
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,2,9,7,0,3,3,0,3,6,0,3,6,0.441735029221
apache1,285,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,3,3,0,2,6,0,3,7,0.399009227753
apache1,338,8,120,61,0,59,35,0,27,20,0,34,23,6,16,11,0,6,6,0,5,9,0,5,9,0.693593025208
apache1,426,4,109,57,0,59,35,0,29,22,0,21,13,4,10,7,0,4,4,0,2,7,0,4,6,0.471800088882
apache1,288,6,110,57,0,59,35,0,21,16,0,30,20,3,9,7,0,3,3,0,4,7,0,2,6,0.458306074142
apache1,409,4,113,57,0,59,35,0,33,25,0,21,13,4,10,7,0,4,4,0,2,7,0,4,6,0.454102993011
apache1,400,6,137,69,0,59,35,0,36,26,0,42,28,4,8,7,0,3,3,0,2,7,0,3,6,0.430077075958
apache1,345,8,120,61,0,59,35,0,27,20,0,34,24,4,15,11,0,6,6,0,5,9,0,4,9,0.615081071854
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.430434942245
apache1,350,4,124,61,0,59,35,0,42,30,0,23,16,2,9,7,0,3,3,0,1,4,0,5,6,0.412403821945
apache1,297,7,110,57,0,59,35,0,21,16,0,30,20,5,16,11,0,6,6,0,3,8,0,7,9,0.695641040802
apache1,422,4,120,61,0,59,35,0,40,26,0,21,13,4,11,7,0,4,4,0,3,7,0,4,6,0.488936901093
apache1,235,6,120,61,0,59,35,0,27,19,0,34,23,4,16,11,0,6,6,0,5,9,0,5,9,0.714076042175
apache1,145,5,124,61,0,59,35,0,20,20,0,45,32,5,8,7,0,3,3,0,2,6,0,3,7,0.403270959854
apache1,233,6,120,61,0,59,35,0,32,23,0,29,19,4,16,11,0,6,6,0,4,9,0,6,8,0.7006919384
apache1,341,6,120,61,0,59,35,0,27,19,0,34,22,4,9,7,0,3,3,0,3,7,0,3,6,0.451750040054
apache1,217,7,120,61,0,59,35,0,32,23,0,29,19,5,11,7,0,4,4,0,3,7,0,4,6,0.492013931274
apache1,424,4,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.393605947495
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,4,9,7,0,3,3,0,2,7,0,4,6,0.43075299263
apache1,70,4,110,57,0,59,35,0,20,15,0,31,20,3,10,7,0,4,4,0,4,7,0,2,6,0.469802856445
apache1,352,4,110,57,0,59,35,0,27,20,0,24,15,4,9,7,0,3,3,0,2,7,0,4,6,0.442010164261
apache1,212,7,120,61,0,59,35,0,31,21,0,30,19,3,9,7,0,3,3,0,4,6,0,2,5,0.446470022202
apache1,268,6,120,61,0,59,35,0,32,23,0,29,19,4,9,7,0,3,3,0,2,7,0,4,6,0.441339015961
apache1,115,8,120,61,0,59,35,0,19,20,0,42,30,4,9,7,0,3,3,0,2,7,0,4,6,0.419135808945
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,3,3,0,2,6,0,3,7,0.392904043198
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,8,7,0,3,3,0,2,7,0,3,6,0.458518028259
apache1,116,8,124,61,0,59,35,0,19,20,0,46,33,4,9,7,0,3,3,0,2,7,0,4,6,0.425449132919
apache1,370,4,124,61,0,59,35,0,44,30,0,21,15,2,9,7,0,3,3,0,2,6,0,4,6,0.441632986069
apache1,412,4,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.430298089981
apache1,307,8,110,57,0,59,35,0,22,17,0,29,20,3,15,11,0,6,6,0,3,8,0,6,9,0.700809001923
apache1,332,9,144,69,0,59,35,0,40,30,0,45,30,5,9,7,0,3,3,0,4,7,0,2,6,0.443738937378
apache1,234,9,120,61,0,59,35,0,32,23,0,29,21,7,12,7,0,4,4,0,4,7,0,4,6,0.50598192215
apache1,239,8,140,69,0,59,35,0,36,27,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.453913927078
apache1,204,5,110,57,0,59,35,0,22,15,0,29,19,5,9,7,0,3,3,0,4,7,0,2,6,0.435070991516
apache1,187,2,100,53,0,59,35,0,17,12,0,24,14,2,9,7,0,3,3,0,2,5,0,4,5,0.392127990723
apache1,378,3,110,57,0,59,35,0,30,20,0,21,14,3,9,7,0,3,3,0,3,6,0,3,6,0.419167041779
apache1,289,6,110,57,0,59,35,0,21,16,0,30,20,3,9,7,0,3,3,0,4,7,0,2,6,0.414311885834
apache1,249,6,120,61,0,59,35,0,28,20,0,33,23,4,11,7,0,4,4,0,4,7,0,3,6,0.517543077469
apache1,49,7,120,61,0,59,35,0,31,21,0,30,21,5,9,7,0,3,3,0,4,7,0,2,6,0.444303035736
apache1,287,6,110,57,0,59,35,0,21,15,0,30,20,3,9,7,0,3,3,0,5,7,0,1,4,0.503237962723
apache1,220,11,141,69,0,59,35,0,38,28,0,44,34,3,12,7,0,4,4,0,5,7,0,3,5,0.506381034851
apache1,110,4,110,57,0,59,35,0,17,13,0,34,21,4,8,7,0,3,3,0,2,7,0,3,6,0.417040109634
apache1,304,6,110,57,0,59,35,0,22,16,0,29,20,5,15,11,0,6,6,0,4,8,0,5,9,0.680679798126
apache1,271,6,107,57,0,59,35,0,33,22,0,15,14,6,14,11,0,6,6,0,4,10,0,4,8,0.606236934662
apache1,218,8,141,69,0,59,35,0,40,30,0,42,30,4,9,7,0,3,3,0,3,7,0,3,6,0.429090023041
apache1,298,8,110,57,0,59,35,0,21,16,0,30,21,3,16,11,0,6,6,0,4,8,0,6,9,0.693904876709
apache1,418,6,110,57,0,59,35,0,28,21,0,23,17,4,8,7,0,3,3,0,3,7,0,2,6,0.391346931458
apache1,182,4,120,61,0,59,35,0,17,18,0,44,28,2,10,7,0,4,4,0,1,5,0,5,6,0.460955858231
apache1,112,4,124,61,0,59,35,0,17,14,0,48,31,4,9,7,0,3,3,0,3,7,0,3,6,0.452560901642
apache1,414,4,124,61,0,59,35,0,42,30,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.402323961258
apache1,17,4,120,61,0,59,35,0,27,19,0,34,22,4,12,7,0,4,4,0,4,7,0,4,6,0.535655975342
apache1,157,4,120,61,0,59,35,0,28,19,0,33,21,4,11,7,0,4,4,0,3,7,0,4,6,0.494745969772
apache1,383,5,110,57,0,59,35,0,30,21,0,21,14,5,9,7,0,3,3,0,4,7,0,2,6,0.414405107498
apache1,392,7,110,57,0,59,35,0,22,16,0,29,19,5,9,7,0,3,3,0,3,7,0,3,6,0.415083885193
apache1,267,9,120,61,0,59,35,0,33,23,0,28,20,5,9,7,0,3,3,0,3,7,0,3,6,0.41971206665
apache1,272,9,120,61,0,59,35,0,33,24,0,28,19,5,15,11,0,6,6,0,4,10,0,5,8,0.743396043777
apache1,399,9,137,69,0,59,35,0,38,29,0,40,28,3,9,7,0,3,3,0,3,7,0,3,6,0.453366994858
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,3,12,7,0,4,4,0,6,7,0,2,5,0.516799926758
apache1,402,7,141,69,0,59,35,0,39,27,0,43,31,5,9,7,0,3,3,0,4,7,0,2,6,0.444461107254
apache1,244,6,120,61,0,59,35,0,26,18,0,35,21,4,9,7,0,3,3,0,2,6,0,4,6,0.399379968643
apache1,309,6,120,61,0,59,35,0,21,16,0,40,26,4,8,7,0,3,3,0,2,7,0,3,6,0.40412402153
apache1,407,4,99,53,0,59,35,0,18,17,0,22,14,4,14,11,0,6,6,0,5,10,0,3,6,0.624711990356
