# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=abstractenv --smtcalcstats --hazardsensitivewaw --toposortinput --nointrathreadhazard
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,2,9,8,0,2,2,0,5,8,0,2,4,4,16,11,0,6,6,0,7,10,0,3,6,4,12,9,0,4,4,0,5,9,0,3,6,0.960917949677
apache1,185,4,120,61,0,59,35,0,19,15,0,42,26,2,6,6,0,1,1,0,1,5,0,4,6,2,9,7,0,3,3,0,2,6,0,4,6,2,9,7,0,3,3,0,2,6,0,4,6,0.649271965027
apache1,117,4,110,57,0,59,35,0,17,13,0,34,20,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,4,9,7,0,3,3,0,2,7,0,4,6,0.576472997665
apache1,425,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,4,11,7,0,4,4,0,3,6,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,0.907958984375
apache1,187,2,100,53,0,59,35,0,17,12,0,24,14,2,7,6,0,2,2,0,2,4,0,3,4,2,8,6,0,3,3,0,2,4,0,3,4,2,10,7,0,4,4,0,2,5,0,4,5,0.699157953262
apache1,179,8,124,61,0,59,35,0,21,21,0,44,30,1,6,6,0,1,1,-1,0,0,0,5,6,1,6,6,0,1,1,-1,0,0,0,5,6,2,9,7,0,3,3,0,1,4,0,5,6,0.58246088028
apache1,330,8,140,69,0,59,35,0,37,28,0,44,32,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,0.592882156372
apache1,223,7,137,69,0,59,35,0,38,26,0,40,29,2,9,6,0,2,2,0,5,5,0,2,4,3,12,7,0,4,4,0,6,7,0,2,5,2,10,6,0,3,3,0,5,5,0,2,4,0.838354825974
apache1,116,8,124,61,0,59,35,0,19,20,0,46,33,4,6,6,0,1,1,0,2,5,0,3,5,4,7,6,0,2,2,0,2,5,0,3,5,4,9,7,0,3,3,0,2,7,0,4,6,0.653266191483
apache1,221,6,137,69,0,59,35,0,40,28,0,38,26,3,6,6,0,1,1,0,2,5,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,4,9,7,0,3,3,0,3,7,0,3,6,0.704575061798
apache1,279,4,120,61,0,59,35,0,20,16,0,41,26,3,8,6,0,2,2,0,1,5,0,5,6,4,11,7,0,4,4,0,2,7,0,5,6,4,11,7,0,4,4,0,2,7,0,5,6,0.721450090408
apache1,376,5,110,57,0,59,35,0,32,21,0,19,13,3,6,6,0,1,1,0,3,5,0,2,5,3,9,7,0,3,3,0,4,6,0,2,6,3,7,6,0,2,2,0,3,5,0,2,5,0.620980978012
apache1,422,4,120,61,0,59,35,0,40,26,0,21,13,4,10,7,0,3,3,0,3,6,0,4,6,4,11,7,0,4,4,0,3,6,0,4,6,4,11,7,0,4,4,0,3,7,0,4,6,0.870249986649
apache1,147,6,120,61,0,59,35,0,20,16,0,41,27,4,7,7,0,2,2,0,2,6,0,3,6,4,8,7,0,3,3,0,2,6,0,3,6,4,8,7,0,3,3,0,2,7,0,3,6,0.621469020844
apache1,398,5,137,69,0,59,35,0,38,25,0,40,26,5,9,6,0,2,2,0,5,6,0,2,5,5,12,7,0,4,4,0,5,7,0,3,6,5,12,7,0,4,4,0,5,7,0,3,6,0.810605049133
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,2,5,5,0,1,1,0,2,4,0,2,5,3,8,6,0,3,3,0,3,5,0,2,5,3,10,7,0,4,4,0,3,6,0,3,6,0.635080814362
apache1,188,3,100,53,0,59,35,0,22,14,0,19,12,3,7,6,0,2,2,0,3,5,0,2,5,3,10,7,0,4,4,0,4,6,0,2,6,3,8,6,0,3,3,0,3,5,0,2,5,0.648349046707
apache1,108,5,110,57,0,59,35,0,17,14,0,34,21,2,10,9,0,3,3,0,1,3,0,6,8,2,10,9,0,3,3,0,1,3,0,6,8,2,15,11,0,6,6,0,1,6,0,8,9,0.91884803772
apache1,307,8,110,57,0,59,35,0,22,17,0,29,20,3,11,9,0,3,3,0,3,7,0,5,8,3,12,9,0,4,4,0,3,7,0,5,8,3,16,11,0,6,6,0,3,8,0,7,9,0.971762895584
