# Options: --keepunused --dodsnsmt --runsmtanalysistype=binarysearch --smtmultithread=allthreads --smtcalcstats --flowsensitive
# Format: Benchmark,Trace,Initial-CSs,Initial-Stmts,Initial-Vars,Init0-CSs,Init0-Stmts,Init0-Vars,Init1-CSs,Init1-Stmts,Init1-Vars,Init2-CSs,Init2-Stmts,Init2-Vars,Reduced-CSs,Reduced-Stmts,Reduced-Vars,slice0-CSs,slice0-Stmts,slice0-Vars,slice1-CSs,slice1-Stmts,slice1-Vars,slice2-CSs,slice2-Stmts,slice2-Vars,Time[s]
apache1,336,6,120,61,0,59,35,0,38,27,0,23,16,2,9,7,0,3,3,0,1,4,0,5,6,0.388472080231
apache1,385,5,110,57,0,59,35,0,32,22,0,19,13,5,9,7,0,3,3,0,4,7,0,2,6,0.397645950317
apache1,156,9,110,57,0,59,35,0,20,15,0,31,20,5,9,7,0,3,3,0,4,7,0,2,6,0.421446084976
apache1,353,4,110,57,0,59,35,0,29,21,0,22,15,4,16,11,0,6,6,0,7,10,0,3,6,0.628123044968
apache1,81,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.456988096237
apache1,243,8,120,61,0,59,35,0,26,19,0,35,23,4,16,11,0,6,6,0,5,9,0,5,9,0.645735025406
apache1,266,12,120,61,0,59,35,0,29,22,0,32,21,4,9,7,0,3,3,0,3,7,0,3,6,0.427191972733
apache1,211,8,120,61,0,59,35,0,33,23,0,28,19,4,16,11,0,6,6,0,5,9,0,5,9,0.656995773315
apache1,176,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.404371023178
apache1,292,10,110,57,0,59,35,0,22,16,0,29,19,4,9,7,0,3,3,0,3,6,0,3,7,0.432027816772
apache1,264,11,120,61,0,59,35,0,32,23,0,29,20,5,16,11,0,6,6,0,4,9,0,6,9,0.625231981277
apache1,381,9,110,57,0,59,35,0,31,23,0,20,15,3,8,7,0,3,3,0,3,7,0,2,6,0.397083997726
apache1,245,8,120,61,0,59,35,0,28,19,0,33,22,4,16,11,0,6,6,0,5,9,0,5,9,0.677374839783
apache1,328,9,140,69,0,59,35,0,40,30,0,41,27,5,9,7,0,3,3,0,4,7,0,2,6,0.422157049179
apache1,175,8,107,57,0,59,35,0,19,17,0,29,23,4,9,7,0,4,4,0,2,7,0,3,6,0.420026063919
apache1,417,6,110,57,0,59,35,0,29,21,0,22,15,4,15,11,0,6,6,0,6,10,0,3,6,0.650936126709
apache1,241,10,144,69,0,59,35,0,40,30,0,45,32,4,9,7,0,3,3,0,3,7,0,3,6,0.428089857101
apache1,77,9,100,53,0,59,35,0,22,14,0,19,12,5,8,7,0,3,3,0,3,7,0,2,6,0.365358114243
apache1,384,7,110,57,0,59,35,0,30,22,0,21,14,5,9,7,0,3,3,0,3,7,0,3,6,0.414102077484
apache1,128,5,140,69,0,59,35,0,42,33,0,39,28,3,9,7,0,3,3,0,3,6,0,3,7,0.446180820465
apache1,294,10,110,57,0,59,35,0,22,16,0,29,20,4,9,7,0,3,3,0,4,6,0,2,7,0.464146852493
apache1,296,6,97,53,0,59,35,0,22,15,0,16,15,6,14,11,0,6,6,0,3,7,0,5,10,0.59573507309
apache1,373,5,110,57,0,59,35,0,32,22,0,19,14,5,16,11,0,6,6,0,8,10,0,2,6,0.634109973907
apache1,339,10,120,61,0,59,35,0,28,20,0,33,21,4,9,7,0,3,3,0,2,7,0,4,6,0.408969163895
apache1,348,10,140,69,0,59,35,0,37,30,0,44,28,4,8,7,0,3,3,0,2,7,0,3,6,0.37638092041
apache1,247,8,109,57,0,59,35,0,16,15,0,34,22,4,10,7,0,4,4,0,3,7,0,3,6,0.465294122696
apache1,148,5,120,61,0,59,35,0,20,19,0,41,28,3,9,7,0,3,3,0,3,6,0,3,6,0.392076969147
apache1,401,5,141,69,0,59,35,0,38,25,0,44,29,5,9,7,0,3,3,0,4,7,0,2,6,0.438679933548
apache1,425,3,120,61,0,59,35,0,40,26,0,21,13,3,11,7,0,4,4,0,3,6,0,4,6,0.542106151581
apache1,403,6,141,69,0,59,35,0,37,26,0,45,32,4,8,7,0,3,3,0,2,7,0,3,6,0.408523082733
apache1,117,5,110,57,0,59,35,0,17,13,0,34,20,5,9,7,0,3,3,0,2,6,0,4,7,0.423332929611
apache1,358,11,137,69,0,59,35,0,39,29,0,39,29,5,12,7,0,4,4,0,5,7,0,3,6,0.507573127747
apache1,375,7,110,57,0,59,35,0,33,23,0,18,14,5,9,7,0,3,3,0,4,7,0,2,6,0.404515981674
apache1,377,9,110,57,0,59,35,0,31,23,0,20,15,3,8,7,0,3,3,0,3,7,0,2,6,0.398078918457
apache1,369,8,124,61,0,59,35,0,45,31,0,20,15,4,8,7,0,3,3,0,2,7,0,3,6,0.401389122009
apache1,368,4,124,61,0,59,35,0,46,31,0,19,15,2,9,7,0,3,3,0,3,6,0,3,6,0.421496868134
apache1,285,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,3,3,0,2,6,0,3,7,0.380578994751
apache1,338,10,120,61,0,59,35,0,27,20,0,34,23,6,16,11,0,6,6,0,5,9,0,5,9,0.622658014297
apache1,426,3,109,57,0,59,35,0,29,22,0,21,13,3,10,7,0,4,4,0,2,6,0,4,6,0.493628025055
apache1,288,10,110,57,0,59,35,0,21,16,0,30,20,4,9,7,0,3,3,0,4,6,0,2,7,0.409524917603
apache1,409,3,113,57,0,59,35,0,33,25,0,21,13,3,10,7,0,4,4,0,2,6,0,4,6,0.450864076614
apache1,400,6,137,69,0,59,35,0,36,26,0,42,28,4,8,7,0,3,3,0,2,7,0,3,6,0.461664915085
apache1,345,12,120,61,0,59,35,0,27,20,0,34,24,4,15,11,0,6,6,0,5,9,0,4,9,0.61886882782
apache1,131,3,107,57,0,59,35,0,19,14,0,29,22,3,10,7,0,4,4,0,3,6,0,3,6,0.441129922867
apache1,350,6,124,61,0,59,35,0,42,30,0,23,16,2,9,7,0,3,3,0,1,4,0,5,6,0.409471988678
apache1,297,10,110,57,0,59,35,0,21,16,0,30,20,6,16,11,0,6,6,0,3,7,0,7,10,0.676142930984
apache1,422,3,120,61,0,59,35,0,40,26,0,21,13,3,11,7,0,4,4,0,3,6,0,4,6,0.512779951096
apache1,235,10,120,61,0,59,35,0,27,19,0,34,23,4,16,11,0,6,6,0,5,9,0,5,9,0.639811992645
apache1,145,9,124,61,0,59,35,0,20,20,0,45,32,5,8,7,0,3,3,0,2,6,0,3,7,0.377967834473
apache1,233,10,120,61,0,59,35,0,32,23,0,29,19,4,16,11,0,6,6,0,4,9,0,6,8,0.73722910881
apache1,341,10,120,61,0,59,35,0,27,19,0,34,22,4,9,7,0,3,3,0,3,7,0,3,6,0.400089979172
apache1,217,8,120,61,0,59,35,0,32,23,0,29,19,4,11,7,0,4,4,0,3,6,0,4,7,0.496886014938
apache1,424,6,120,61,0,59,35,0,38,27,0,23,16,2,8,7,0,3,3,0,1,4,0,4,6,0.385133981705
apache1,386,6,120,61,0,59,35,0,21,16,0,40,25,4,9,7,0,3,3,0,2,7,0,4,6,0.425468921661
apache1,70,7,110,57,0,59,35,0,20,15,0,31,20,5,10,7,0,4,4,0,4,7,0,2,6,0.46847987175
apache1,352,6,110,57,0,59,35,0,27,20,0,24,15,4,9,7,0,3,3,0,2,7,0,4,6,0.398548841476
apache1,212,9,120,61,0,59,35,0,31,21,0,30,19,3,9,7,0,3,3,0,4,6,0,2,5,0.424230098724
apache1,268,10,120,61,0,59,35,0,32,23,0,29,19,4,9,7,0,3,3,0,2,7,0,4,6,0.442183017731
apache1,115,7,120,61,0,59,35,0,19,20,0,42,30,5,9,7,0,3,3,0,2,6,0,4,7,0.403123140335
apache1,308,7,124,61,0,59,35,0,21,20,0,44,31,5,8,7,0,3,3,0,2,6,0,3,7,0.388295888901
apache1,330,12,140,69,0,59,35,0,37,28,0,44,32,4,8,7,0,3,3,0,2,7,0,3,6,0.426111936569
